#       eta       phi       depth        det       value           DetId
               -1               1               1         HB         1.08850     42004081
               -2               1               1         HB         1.09068     42004101
               -3               1               1         HB         1.08331     42004181
               -4               1               1         HB         1.08141     42004201
               -5               1               1         HB         1.07132     42004281
               -6               1               1         HB         1.07355     42004301
               -7               1               1         HB         1.08268     42004381
               -8               1               1         HB         1.07859     42004401
               -9               1               1         HB         1.08312     42004481
              -10               1               1         HB         1.08981     42004501
              -11               1               1         HB         1.08950     42004581
              -12               1               1         HB         1.10484     42004601
              -13               1               1         HB         1.10579     42004681
              -14               1               1         HB         1.12394     42004701
              -15               1               1         HB         1.15372     42004781
              -15               1               2         HB         1.15372     42008781
              -16               1               1         HB         1.23110     42004801
              -16               1               2         HB         1.23110     42008801
               -1               2               1         HB         1.08850     42004082
               -2               2               1         HB         1.09068     42004102
               -3               2               1         HB         1.08331     42004182
               -4               2               1         HB         1.08141     42004202
               -5               2               1         HB         1.07132     42004282
               -6               2               1         HB         1.07355     42004302
               -7               2               1         HB         1.08268     42004382
               -8               2               1         HB         1.07859     42004402
               -9               2               1         HB         1.08312     42004482
              -10               2               1         HB         1.08981     42004502
              -11               2               1         HB         1.08950     42004582
              -12               2               1         HB         1.10484     42004602
              -13               2               1         HB         1.10579     42004682
              -14               2               1         HB         1.12394     42004702
              -15               2               1         HB         1.15372     42004782
              -15               2               2         HB         1.15372     42008782
              -16               2               1         HB         1.23110     42004802
              -16               2               2         HB         1.23110     42008802
               -1               3               1         HB         1.08850     42004083
               -2               3               1         HB         1.09068     42004103
               -3               3               1         HB         1.08331     42004183
               -4               3               1         HB         1.08141     42004203
               -5               3               1         HB         1.07132     42004283
               -6               3               1         HB         1.07355     42004303
               -7               3               1         HB         1.08268     42004383
               -8               3               1         HB         1.07859     42004403
               -9               3               1         HB         1.08312     42004483
              -10               3               1         HB         1.08981     42004503
              -11               3               1         HB         1.08950     42004583
              -12               3               1         HB         1.10484     42004603
              -13               3               1         HB         1.10579     42004683
              -14               3               1         HB         1.12394     42004703
              -15               3               1         HB         1.15372     42004783
              -15               3               2         HB         1.15372     42008783
              -16               3               1         HB         1.23110     42004803
              -16               3               2         HB         1.23110     42008803
               -1               4               1         HB         1.08850     42004084
               -2               4               1         HB         1.09068     42004104
               -3               4               1         HB         1.08331     42004184
               -4               4               1         HB         1.08141     42004204
               -5               4               1         HB         1.07132     42004284
               -6               4               1         HB         1.07355     42004304
               -7               4               1         HB         1.08268     42004384
               -8               4               1         HB         1.07859     42004404
               -9               4               1         HB         1.08312     42004484
              -10               4               1         HB         1.08981     42004504
              -11               4               1         HB         1.08950     42004584
              -12               4               1         HB         1.10484     42004604
              -13               4               1         HB         1.10579     42004684
