#             eta             phi             dep             det    value      DetId
               -1               1               1              HB  1.62360   42004081
               -2               1               1              HB  1.28061   42004101
               -3               1               1              HB  1.94309   42004181
               -4               1               1              HB  1.85399   42004201
               -5               1               1              HB  1.75966   42004281
               -6               1               1              HB  1.01987   42004301
               -7               1               1              HB  1.67982   42004381
               -8               1               1              HB  2.20647   42004401
               -9               1               1              HB  1.11503   42004481
              -10               1               1              HB  0.98267   42004501
              -11               1               1              HB  1.86385   42004581
              -12               1               1              HB  0.62575   42004601
              -13               1               1              HB  1.31210   42004681
              -14               1               1              HB  0.61645   42004701
              -15               1               1              HB  1.77194   42004781
              -15               1               2              HB  1.13371   42008781
              -16               1               1              HB  1.36899   42004801
              -16               1               2              HB  1.26350   42008801
               -1               2               1              HB  1.57578   42004082
               -2               2               1              HB  1.77466   42004102
               -3               2               1              HB  0.57237   42004182
               -4               2               1              HB  1.46178   42004202
               -5               2               1              HB  1.05343   42004282
               -6               2               1              HB  1.45676   42004302
               -7               2               1              HB  1.26711   42004382
               -8               2               1              HB  1.80972   42004402
               -9               2               1              HB  1.11521   42004482
              -10               2               1              HB  1.12000   42004502
              -11               2               1              HB  1.04129   42004582
              -12               2               1              HB  1.56768   42004602
              -13               2               1              HB  1.40232   42004682
              -14               2               1              HB  1.54030   42004702
              -15               2               1              HB  1.84480   42004782
              -15               2               2              HB  1.04906   42008782
              -16               2               1              HB  1.51243   42004802
              -16               2               2              HB  1.19209   42008802
               -1               3               1              HB  0.95142   42004083
               -2               3               1              HB  1.86683   42004103
               -3               3               1              HB  1.67327   42004183
               -4               3               1              HB  1.86428   42004203
               -5               3               1              HB  1.77064   42004283
               -6               3               1              HB  1.17657   42004303
               -7               3               1              HB  1.56282   42004383
               -8               3               1              HB  0.34534   42004403
               -9               3               1              HB  1.21066   42004483
              -10               3               1              HB  1.32966   42004503
              -11               3               1              HB  1.57839   42004583
              -12               3               1              HB  0.96496   42004603
              -13               3               1              HB  1.28317   42004683
              -14               3               1              HB  1.37289   42004703
              -15               3               1              HB  1.62600   42004783
              -15               3               2              HB  1.14040   42008783
              -16               3               1              HB  1.52466   42004803
              -16               3               2              HB  0.86805   42008803
               -1               4               1              HB  0.99681   42004084
               -2               4               1              HB  2.00410   42004104
               -3               4               1              HB  1.60532   42004184
               -4               4               1              HB  1.41214   42004204
               -5               4               1              HB  1.47519   42004284
               -6               4               1              HB  0.63236   42004304
               -7               4               1              HB  1.78141   42004384
               -8               4               1              HB  1.71450   42004404
               -9               4               1              HB  0.92534   42004484
              -10               4               1              HB  0.56959   42004504
