n1=20 n2=40 s0=0.50 RC=1
 0.00  5.00 3.9044e+01 2.4402e+04 1.0225e-01  
  0.50  5.00 2.9052e+01 1.8158e+04 7.6085e-02  
  1.00  5.00 2.2336e+01 1.3960e+04 5.8495e-02  
  1.50  5.00 1.7463e+01 1.0914e+04 4.5733e-02  
  2.00  5.00 1.3838e+01 8.6485e+03 3.6239e-02  
  2.50  5.00 1.1119e+01 6.9495e+03 2.9120e-02  
  3.00  5.00 9.0765e+00 5.6728e+03 2.3770e-02  
  3.50  5.00 7.5412e+00 4.7133e+03 1.9749e-02  
  4.00  5.00 6.3893e+00 3.9933e+03 1.6733e-02  
  4.50  5.00 5.5301e+00 3.4563e+03 1.4483e-02  
  5.00  5.00 4.8973e+00 3.0608e+03 1.2825e-02  
  5.50  5.00 4.4418e+00 2.7761e+03 1.1632e-02  
  6.00  5.00 4.1276e+00 2.5797e+03 1.0810e-02  
  6.50  5.00 3.9292e+00 2.4558e+03 1.0290e-02  
  7.00  5.00 3.8300e+00 2.3937e+03 1.0030e-02  
  7.50  5.00 3.8194e+00 2.3872e+03 1.0003e-02  
  8.00  5.00 3.8917e+00 2.4323e+03 1.0192e-02  
  8.50  5.00 4.0442e+00 2.5276e+03 1.0591e-02  
  9.00  5.00 4.2784e+00 2.6740e+03 1.1204e-02  
  9.50  5.00 4.6004e+00 2.8752e+03 1.2048e-02  
 10.00  5.00 5.0198e+00 3.1374e+03 1.3146e-02  
 10.50  5.00 5.5471e+00 3.4670e+03 1.4527e-02  
 11.00  5.00 6.1947e+00 3.8717e+03 1.6223e-02  
 11.50  5.00 6.9849e+00 4.3655e+03 1.8292e-02  
 12.00  5.00 7.9440e+00 4.9650e+03 2.0804e-02  
  0.00  7.00 1.0717e+01 2.5731e+04 1.3154e-01  
  0.50  7.00 8.0826e+00 1.9406e+04 9.9204e-02  
  1.00  7.00 6.2831e+00 1.5086e+04 7.7118e-02  
  1.50  7.00 4.9574e+00 1.1903e+04 6.0847e-02  
  2.00  7.00 3.9564e+00 9.4992e+03 4.8560e-02  
  2.50  7.00 3.1937e+00 7.6681e+03 3.9199e-02  
  3.00  7.00 2.6110e+00 6.2690e+03 3.2047e-02  
  3.50  7.00 2.1653e+00 5.1989e+03 2.6576e-02  
  4.00  7.00 1.8243e+00 4.3802e+03 2.2391e-02  
  4.50  7.00 1.5640e+00 3.7551e+03 1.9196e-02  
  5.00  7.00 1.3661e+00 3.2801e+03 1.6768e-02  
  5.50  7.00 1.2172e+00 2.9225e+03 1.4940e-02  
  6.00  7.00 1.1071e+00 2.6581e+03 1.3588e-02  
  6.50  7.00 1.0285e+00 2.4695e+03 1.2624e-02  
  7.00  7.00 9.7613e-01 2.3437e+03 1.1981e-02  
  7.50  7.00 9.4601e-01 2.2714e+03 1.1611e-02  
  8.00  7.00 9.3557e-01 2.2463e+03 1.1483e-02  
  8.50  7.00 9.4331e-01 2.2649e+03 1.1578e-02  
  9.00  7.00 9.6861e-01 2.3256e+03 1.1889e-02  
  9.50  7.00 1.0115e+00 2.4286e+03 1.2415e-02  
 10.00  7.00 1.0726e+00 2.5753e+03 1.3165e-02  
 10.50  7.00 1.1531e+00 2.7687e+03 1.4154e-02  
 11.00  7.00 1.2551e+00 3.0135e+03 1.5405e-02  
 11.50  7.00 1.3815e+00 3.3171e+03 1.6957e-02  
 12.00  7.00 1.5353e+00 3.6863e+03 1.8844e-02  
  0.00  9.80 2.7838e+00 2.5677e+04 1.5728e-01  
