n1=20 n2=40 s0=1.00 RC=1
 0.00  5.00 2.0224e+01 1.2640e+04 5.2964e-02  
  0.50  5.00 1.5561e+01 9.7255e+03 4.0751e-02  
  1.00  5.00 1.2355e+01 7.7217e+03 3.2355e-02  
  1.50  5.00 9.9737e+00 6.2336e+03 2.6120e-02  
  2.00  5.00 8.1586e+00 5.0992e+03 2.1366e-02  
  2.50  5.00 6.7648e+00 4.2280e+03 1.7716e-02  
  3.00  5.00 5.6944e+00 3.5590e+03 1.4913e-02  
  3.50  5.00 4.8741e+00 3.0463e+03 1.2765e-02  
  4.00  5.00 4.2491e+00 2.6557e+03 1.1128e-02  
  4.50  5.00 3.7788e+00 2.3618e+03 9.8962e-03  
  5.00  5.00 3.4322e+00 2.1451e+03 8.9884e-03  
  5.50  5.00 3.1853e+00 1.9908e+03 8.3419e-03  
  6.00  5.00 3.0215e+00 1.8884e+03 7.9128e-03  
  6.50  5.00 2.9299e+00 1.8312e+03 7.6730e-03  
  7.00  5.00 2.9031e+00 1.8144e+03 7.6028e-03  
  7.50  5.00 2.9357e+00 1.8348e+03 7.6882e-03  
  8.00  5.00 3.0254e+00 1.8908e+03 7.9230e-03  
  8.50  5.00 3.1740e+00 1.9837e+03 8.3122e-03  
  9.00  5.00 3.3861e+00 2.1163e+03 8.8677e-03  
  9.50  5.00 3.6668e+00 2.2917e+03 9.6028e-03  
 10.00  5.00 4.0228e+00 2.5142e+03 1.0535e-02  
 10.50  5.00 4.4657e+00 2.7910e+03 1.1695e-02  
 11.00  5.00 5.0090e+00 3.1306e+03 1.3118e-02  
 11.50  5.00 5.6682e+00 3.5426e+03 1.4844e-02  
 12.00  5.00 6.4657e+00 4.0411e+03 1.6933e-02  
  0.00  7.00 6.1148e+00 1.4682e+04 7.5052e-02  
  0.50  7.00 4.7031e+00 1.1292e+04 5.7725e-02  
  1.00  7.00 3.7257e+00 8.9454e+03 4.5728e-02  
  1.50  7.00 2.9950e+00 7.1910e+03 3.6760e-02  
