n1=20 n2=20 s0=2.00 RC=1
  0.00  5.00 9.6675e+00 6.0422e+03 2.5318e-02  
  0.50  5.00 7.8089e+00 4.8806e+03 2.0450e-02  
  1.00  5.00 6.4960e+00 4.0600e+03 1.7012e-02  
  1.50  5.00 5.4929e+00 3.4331e+03 1.4385e-02  
  2.00  5.00 4.7032e+00 2.9395e+03 1.2317e-02  
  2.50  5.00 4.0766e+00 2.5479e+03 1.0676e-02  
  3.00  5.00 3.5803e+00 2.2377e+03 9.3763e-03  
  3.50  5.00 3.1898e+00 1.9937e+03 8.3538e-03  
  4.00  5.00 2.8864e+00 1.8040e+03 7.5590e-03  
  4.50  5.00 2.6554e+00 1.6596e+03 6.9541e-03  
  5.00  5.00 2.4855e+00 1.5534e+03 6.5092e-03  
  5.50  5.00 2.3682e+00 1.4801e+03 6.2019e-03  
  6.00  5.00 2.2973e+00 1.4358e+03 6.0163e-03  
  6.50  5.00 2.2691e+00 1.4182e+03 5.9424e-03  
  7.00  5.00 2.2813e+00 1.4258e+03 5.9744e-03  
  7.50  5.00 2.3331e+00 1.4582e+03 6.1100e-03  
  8.00  5.00 2.4251e+00 1.5157e+03 6.3510e-03  
  8.50  5.00 2.5595e+00 1.5997e+03 6.7029e-03  
  9.00  5.00 2.7399e+00 1.7124e+03 7.1754e-03  
  9.50  5.00 2.9714e+00 1.8571e+03 7.7818e-03  
 10.00  5.00 3.2611e+00 2.0382e+03 8.5403e-03  
 10.50  5.00 3.6176e+00 2.2610e+03 9.4740e-03  
 11.00  5.00 4.0513e+00 2.5321e+03 1.0610e-02  
 11.50  5.00 4.5761e+00 2.8600e+03 1.1984e-02  
 12.00  5.00 5.2084e+00 3.2553e+03 1.3640e-02  
  0.00  7.00 3.3040e+00 7.9330e+03 4.0553e-02  
  0.50  7.00 2.6190e+00 6.2883e+03 3.2146e-02  
  1.00  7.00 2.1359e+00 5.1284e+03 2.6216e-02  
  1.50  7.00 1.7675e+00 4.2437e+03 2.1694e-02  
  2.00  7.00 1.4790e+00 3.5511e+03 1.8153e-02  
  2.50  7.00 1.2515e+00 3.0048e+03 1.5361e-02  
  3.00  7.00 1.0719e+00 2.5737e+03 1.3157e-02  
  3.50  7.00 9.3057e-01 2.2343e+03 1.1422e-02  
  4.00  7.00 8.1990e-01 1.9686e+03 1.0063e-02  
  4.50  7.00 7.3398e-01 1.7623e+03 9.0087e-03  
  5.00  7.00 6.6823e-01 1.6044e+03 8.2018e-03  
  5.50  7.00 6.1920e-01 1.4867e+03 7.6000e-03  
  6.00  7.00 5.8426e-01 1.4028e+03 7.1712e-03  
  6.50  7.00 5.6146e-01 1.3481e+03 6.8913e-03  
  7.00  7.00 5.4940e-01 1.3191e+03 6.7433e-03  
  7.50  7.00 5.4723e-01 1.3139e+03 6.7167e-03  
  8.00  7.00 5.5450e-01 1.3313e+03 6.8058e-03  
  8.50  7.00 5.7106e-01 1.3711e+03 7.0092e-03  
  9.00  7.00 5.9716e-01 1.4338e+03 7.3295e-03  
  9.50  7.00 6.3339e-01 1.5208e+03 7.7741e-03  
 10.00  7.00 6.8062e-01 1.6342e+03 8.3539e-03  
 10.50  7.00 7.4001e-01 1.7768e+03 9.0828e-03  
 11.00  7.00 8.1316e-01 1.9524e+03 9.9806e-03  
