9  3.985908 -0.0233164 0.000479769 -8.90993e-06 5.74269e-08	  16.460299 -0.0282926 0.000176 -1.24226e-06 3.33661e-09
10 3.865145 -0.0157737 1.4102e-05 -2.59944e-08 5.18596e-09	  16.074041 -0.0142934 -2.3325e-05 -9.91417e-08 1.05114e-09
11 3.797408 -0.0110597 -0.000150187 1.70552e-06 -9.14724e-10	15.856707 -0.00698478 -0.000129121 5.11442e-07 -1.75663e-10
12 3.851879 -0.00268387 -0.000502753 6.91762e-06 -2.62058e-08	15.514695 0.00534509 -0.000304267 1.51454e-06 -2.17969e-09
13 3.637403 -0.0102584 -0.000280915 4.39397e-06 -1.67187e-08	15.235543 0.0140316 -0.000430826 2.25819e-06 -3.69355e-09
14 3.502875 -0.00930028 -0.000349823 5.39975e-06 -2.10104e-08	15.364650 0.00885852 -0.000386321 2.09248e-06 -3.47966e-09
15 3.408253 -0.00713129 -0.000358892 4.95141e-06 -1.79598e-08	15.591748 0.00056066 -0.000302279 1.70913e-06 -2.84797e-09
16 3.308403 -0.010831 -0.000302115 4.5388e-06 -1.67407e-08	  15.353311 0.00786759 -0.000395923 2.15057e-06 -3.55091e-09
17 3.274672 -0.00658889 -0.000350272 4.3462e-06 -1.44797e-08	15.555453 0.00110278 -0.000332765 1.8694e-06 -3.08188e-09
18 3.083276 -0.0102271 -0.00028511 3.5795e-06 -1.08933e-08	  15.822784 -0.00815451 -0.000231267 1.35734e-06 -2.15243e-09
19 3.125504 -0.0073409 -0.000282136 3.16049e-06 -9.34773e-09	15.909287 -0.0112805 -0.000205724 1.24919e-06 -1.99359e-09
20 2.995494 -0.0193198 -6.97825e-06 6.81663e-07 -1.76918e-09	16.115456 -0.0185292 -0.000131819 9.26615e-07 -1.49273e-09
21 2.973583 -0.00764613 -0.000184954 1.73145e-06 -4.03636e-09	16.356612 -0.0288606 -1.22903e-05 3.72635e-07 -6.06651e-10
22 2.821734 -0.0158869 1.38538e-06 3.83847e-07 -1.34869e-09	  16.758791 -0.0481384 0.000220859 -6.4673e-07 8.8165e-10
