M_H_GeV  alpha_s(M_H)              m_b(M_H)
80.000   0.1214161703670533        2.871802564034623
81.000   0.1211818840654558        2.868646308432717
82.000   0.1209513796736493        2.865538954615850
83.000   0.1207245493361958        2.862479140593418
84.000   0.1205012895598467        2.859465558542539
85.000   0.1202815009866227        2.856496952026813
86.000   0.1200650881812550        2.853572113389226
87.000   0.1198519594319193        2.850689881306363
88.000   0.1196420265632886        2.847849138492213
89.000   0.1194352047610101        2.845048809540812
90.000   0.1192314124067869        2.842287858897829
91.000   0.1190305709233118        2.839565288952063
92.000   0.1188326046283626        2.836880138238481
93.000   0.1186374405974225        2.834231479745165
94.000   0.1184450085342415        2.831618419317050
95.000   0.1182552406487985        2.829040094149997
96.000   0.1180680715421669        2.826495671369136
97.000   0.1178834380978269        2.823984346685958
98.000   0.1177012793789963        2.821505343129016
99.000   0.1175215365315927        2.819057909843470
100.00   0.1173441526924598        2.816641320955105
101.00   0.1171690729025254        2.814254874494714
102.00   0.1169962440245774        2.811897891379102
103.00   0.1168256146653693        2.809569714445166
104.00   0.1166571351017885        2.807269707533824
105.00   0.1164907572108362        2.804997254620739
106.00   0.1163264344031888        2.802751758991040
107.00   0.1161641215601247        2.800532642455401
108.00   0.1160037749736160        2.798339344605051
109.00   0.1158453522893986        2.796171322103416
110.00   0.1156888124528456        2.794028048012289
110.50   0.1156112361155201        2.792965531277949
111.00   0.1155341156574824        2.791909011150536
111.50   0.1154574462899092        2.790858426094277
112.00   0.1153812232959917        2.789813715483485
112.50   0.1153054420295305        2.788774819585037
113.00   0.1152300979135652        2.787741679541264
113.50   0.1151551864390351        2.786714237353242
114.00   0.1150807031634727        2.785692435864482
114.50   0.1150066437097276        2.784676218744995
115.00   0.1149330037647208        2.783665530475727
115.50   0.1148597790782273        2.782660316333358
116.00   0.1147869654616883        2.781660522375455
116.50   0.1147145587870499        2.780666095425951
117.00   0.1146425549856287        2.779676983060970
117.50   0.1145709500470046        2.778693133594975
118.00   0.1144997400179374        2.777714496067216
118.50   0.1144289210013090        2.776741020228495
119.00   0.1143584891550895        2.775772656528229
119.50   0.1142884406913267        2.774809356101795
120.00   0.1142187718751581        2.773851070758162
120.50   0.1141494790238451        2.772897752967795
121.00   0.1140805585058290        2.771949355850826
121.50   0.1140120067398078        2.771005833165492
122.00   0.1139438201938334        2.770067139296811
122.50   0.1138759953844288        2.769133229245522
123.00   0.1138085288757245        2.768204058617254
123.50   0.1137414172786141        2.767279583611933
124.00   0.1136746572499280        2.766359761013413
124.50   0.1136082454916249        2.765444548179342
125.00   0.1135421787500015        2.764533903031229
125.50   0.1134764538149179        2.763627784044727
126.00   0.1134110675190410        2.762726150240134
126.50   0.1133460167371032        2.761828961173077
127.00   0.1132812983851768        2.760936176925395
127.50   0.1132169094199642        2.760047758096230
128.00   0.1131528468381029        2.759163665793281
128.50   0.1130891076754850        2.758283861624249
129.00   0.1130256890065908        2.757408307688471
129.50   0.1129625879438367        2.756536966568705
130.00   0.1128998016369364        2.755669801323093
130.50   0.1128373272722751        2.754806775477299
131.00   0.1127751620722971        2.753947853016787
131.50   0.1127133032949050        2.753092998379273
132.00   0.1126517482328727        2.752242176447319
132.50   0.1125904942132689        2.751395352541085
133.00   0.1125295385968927        2.750552492411211
133.50   0.1124688787777214        2.749713562231867
134.00   0.1124085121823682        2.748878528593907
134.50   0.1123484362695515        2.748047358498196
135.00   0.1122886485295748        2.747220019349040
135.50   0.1122291464838165        2.746396478947759
136.00   0.1121699276842302        2.745576705486378
136.50   0.1121109897128550        2.744760667541457
137.00   0.1120523301813349        2.743948334068019
137.50   0.1119939467304478        2.743139674393617
138.00   0.1119358370296444        2.742334658212496
138.50   0.1118779987765948        2.741533255579886
139.00   0.1118204296967450        2.740735436906388
139.50   0.1117631275428816        2.739941172952484
140.00   0.1117060900947044        2.739150434823133
141.00   0.1115928005662712        2.737579422148689
142.00   0.1114805438715989        2.736022174413762
143.00   0.1113693031754708        2.734478472332279
144.00   0.1112590620350035        2.732948101645875
145.00   0.1111498043878072        2.731430852974072
146.00   0.1110415145405838        2.729926521669967
147.00   0.1109341771581430        2.728434907681123
148.00   0.1108277772528185        2.726955815415510
149.00   0.1107223001742675        2.725489053612225
150.00   0.1106177315996360        2.724034435216808
151.00   0.1105140575240759        2.722591777260973
152.00   0.1104112642515979        2.721160900746559
153.00   0.1103093383862466        2.719741630533513
154.00   0.1102082668235842        2.718333795231763
155.00   0.1101080367424709        2.716937227096809
156.00   0.1100086355971282        2.715551761928877
157.00   0.1099100511094753        2.714177238975505
158.00   0.1098122712617259        2.712813500837407
159.00   0.1097152842892369        2.711460393377498
160.00   0.1096190786735966        2.710117765632948
162.00   0.1094289666305148        2.707463360802461
164.00   0.1092418476614555        2.704849138966118
165.00   0.1091493842165732        2.703556750655974
