160431,	165547,	0.9982,	0.9940,	1.0045,	0.9945,	1.0047,	1.0017,	1.0066,	1.0003
165548,	166529,	0.9994,	0.9952,	1.0053,	0.9952,	1.0036,	1.0005,	1.0018,	0.9955
166530,	167042,	0.9997,	0.9955,	1.0043,	0.9942,	1.0021,	0.9990,	0.9997,	0.9933
167043,	170895,	0.9995,	0.9953,	1.0046,	0.9946,	1.0019,	0.9988,	0.9991,	0.9928
170896,	172400,	1.0006,	0.9964,	1.0074,	0.9974,	0.9999,	0.9968,	0.9983,	0.9920
172401,	172948,	1.0005,	0.9963,	1.0058,	0.9958,	0.9992,	0.9961,	0.9989,	0.9926
172949,	173663,	1.0013,	0.9971,	1.0071,	0.9971,	0.9986,	0.9955,	0.9973,	0.9909
173664,	176288,	1.0001,	0.9959,	1.0052,	0.9951,	0.9983,	0.9952,	0.9990,	0.9927
176289,	176840,	1.0006,	0.9964,	1.0058,	0.9957,	0.9989,	0.9958,	0.9984,	0.9921
176841,	177182,	1.0010,	0.9968,	1.0070,	0.9970,	0.9981,	0.9950,	0.9990,	0.9926
177183,	177775,	1.0015,	0.9973,	1.0067,	0.9967,	0.9984,	0.9952,	0.9983,	0.9920
177776,	178159,	1.0012,	0.9970,	1.0068,	0.9967,	0.9983,	0.9952,	1.0021,	0.9958
178160,	178723,	1.0001,	0.9959,	1.0075,	0.9975,	0.9943,	0.9912,	0.9981,	0.9917
178724,	179475,	1.0004,	0.9962,	1.0071,	0.9971,	0.9925,	0.9894,	0.9993,	0.9930
179476,	180252,	1.0015,	0.9973,	1.0081,	0.9981,	0.9939,	0.9908,	0.9983,	0.9920
