########################################
# Address in binary: TTTTTT
#<header> V1 6 3 </header>
# Format:  Address  Payload  ## hwTauPt
########################################
0 0	## physPt tau: 0.0
1 0	## physPt tau: 4.0
2 0	## physPt tau: 8.0
3 0	## physPt tau: 12.0
4 0	## physPt tau: 16.0
5 0	## physPt tau: 20.0
6 1	## physPt tau: 24.0
7 2	## physPt tau: 28.0
8 3	## physPt tau: 32.0
9 4	## physPt tau: 36.0
10 5	## physPt tau: 40.0
11 6	## physPt tau: 44.0
12 7	## physPt tau: 48.0
13 7	## physPt tau: 52.0
14 7	## physPt tau: 56.0
15 7	## physPt tau: 60.0
16 7	## physPt tau: 64.0
17 7	## physPt tau: 68.0
18 7	## physPt tau: 72.0
19 7	## physPt tau: 76.0
20 7	## physPt tau: 80.0
21 7	## physPt tau: 84.0
22 7	## physPt tau: 88.0
23 7	## physPt tau: 92.0
24 7	## physPt tau: 96.0
25 7	## physPt tau: 100.0
26 7	## physPt tau: 104.0
27 7	## physPt tau: 108.0
28 7	## physPt tau: 112.0
29 7	## physPt tau: 116.0
30 7	## physPt tau: 120.0
31 7	## physPt tau: 124.0
32 7	## physPt tau: 128.0
33 7	## physPt tau: 132.0
34 7	## physPt tau: 136.0
35 7	## physPt tau: 140.0
36 7	## physPt tau: 144.0
37 7	## physPt tau: 148.0
38 7	## physPt tau: 152.0
39 7	## physPt tau: 156.0
40 7	## physPt tau: 160.0
41 7	## physPt tau: 164.0
42 7	## physPt tau: 168.0
43 7	## physPt tau: 172.0
44 7	## physPt tau: 176.0
45 7	## physPt tau: 180.0
46 7	## physPt tau: 184.0
47 7	## physPt tau: 188.0
48 7	## physPt tau: 192.0
49 7	## physPt tau: 196.0
50 7	## physPt tau: 200.0
51 7	## physPt tau: 204.0
52 7	## physPt tau: 208.0
53 7	## physPt tau: 212.0
54 7	## physPt tau: 216.0
55 7	## physPt tau: 220.0
56 7	## physPt tau: 224.0
57 7	## physPt tau: 228.0
58 7	## physPt tau: 232.0
59 7	## physPt tau: 236.0
60 7	## physPt tau: 240.0
61 7	## physPt tau: 244.0
62 7	## physPt tau: 248.0
63 7	## physPt tau: 252.0
