
# Shape identification bit vs |ieta|,shape,E. Dummy LUT without shape veto
# Index is compressedShape+compressedE<<4+compressedIeta<<8. 
# Compression version is v4
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V5 12 1 </header>

0 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=0
1 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=1
2 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=2
3 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=3
4 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=4
5 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=5
6 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=6
7 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=7
8 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=8
9 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=9
10 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=10
11 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=11
12 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=12
13 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=13
14 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=14
15 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=15
16 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=0
17 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=1
18 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=2
19 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=3
20 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=4
21 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=5
22 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=6
23 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=7
24 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=8
25 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=9
26 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=10
27 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=11
28 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=12
29 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=13
30 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=14
31 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=15
32 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=0
33 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=1
34 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=2
35 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=3
36 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=4
37 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=5
38 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=6
39 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=7
40 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=8
41 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=9
42 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=10
43 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=11
44 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=12
45 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=13
46 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=14
47 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=15
48 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=0
49 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=1
50 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=2
51 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=3
52 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=4
53 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=5
54 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=6
55 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=7
56 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=8
57 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=9
58 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=10
59 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=11
60 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=12
61 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=13
62 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=14
63 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=15
64 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=0
65 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=1
66 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=2
67 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=3
68 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=4
69 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=5
70 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=6
71 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=7
72 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=8
73 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=9
74 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=10
75 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=11
76 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=12
77 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=13
78 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=14
79 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=15
80 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=0
81 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=1
82 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=2
83 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=3
84 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=4
85 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=5
86 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=6
87 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=7
88 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=8
89 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=9
90 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=10
91 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=11
92 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=12
93 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=13
94 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=14
95 1  # abs(compressedIeta)=0, compressedE=5, compressedShape=15
96 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=0
97 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=1
98 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=2
99 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=3
100 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=4
101 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=5
102 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=6
103 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=7
104 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=8
105 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=9
106 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=10
107 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=11
108 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=12
109 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=13
110 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=14
111 1  # abs(compressedIeta)=0, compressedE=6, compressedShape=15
112 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=0
113 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=1
114 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=2
115 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=3
116 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=4
117 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=5
118 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=6
119 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=7
120 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=8
121 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=9
122 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=10
123 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=11
124 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=12
125 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=13
126 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=14
127 1  # abs(compressedIeta)=0, compressedE=7, compressedShape=15
128 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=0
129 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=1
130 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=2
131 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=3
132 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=4
133 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=5
134 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=6
135 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=7
136 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=8
137 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=9
138 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=10
139 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=11
140 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=12
141 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=13
142 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=14
143 1  # abs(compressedIeta)=0, compressedE=8, compressedShape=15
144 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=0
145 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=1
146 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=2
147 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=3
