# e/g max H/E vs |ieta| and hwPt
# Index is (|ieta|-1)*256+hwPt. 
# Cuts corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V1 13 9 </header>

0 66 # ieta=1, ET=0, H/E<=0.12890625
1 66 # ieta=1, ET=1, H/E<=0.12890625
2 66 # ieta=1, ET=2, H/E<=0.12890625
3 66 # ieta=1, ET=3, H/E<=0.12890625
4 66 # ieta=1, ET=4, H/E<=0.12890625
5 66 # ieta=1, ET=5, H/E<=0.12890625
6 66 # ieta=1, ET=6, H/E<=0.12890625
7 66 # ieta=1, ET=7, H/E<=0.12890625
8 66 # ieta=1, ET=8, H/E<=0.12890625
9 66 # ieta=1, ET=9, H/E<=0.12890625
10 66 # ieta=1, ET=10, H/E<=0.12890625
11 66 # ieta=1, ET=11, H/E<=0.12890625
12 66 # ieta=1, ET=12, H/E<=0.12890625
13 66 # ieta=1, ET=13, H/E<=0.12890625
14 66 # ieta=1, ET=14, H/E<=0.12890625
15 66 # ieta=1, ET=15, H/E<=0.12890625
16 66 # ieta=1, ET=16, H/E<=0.12890625
17 66 # ieta=1, ET=17, H/E<=0.12890625
18 66 # ieta=1, ET=18, H/E<=0.12890625
19 66 # ieta=1, ET=19, H/E<=0.12890625
20 66 # ieta=1, ET=20, H/E<=0.12890625
21 66 # ieta=1, ET=21, H/E<=0.12890625
22 66 # ieta=1, ET=22, H/E<=0.12890625
23 66 # ieta=1, ET=23, H/E<=0.12890625
24 66 # ieta=1, ET=24, H/E<=0.12890625
25 66 # ieta=1, ET=25, H/E<=0.12890625
26 66 # ieta=1, ET=26, H/E<=0.12890625
27 66 # ieta=1, ET=27, H/E<=0.12890625
28 66 # ieta=1, ET=28, H/E<=0.12890625
29 66 # ieta=1, ET=29, H/E<=0.12890625
30 66 # ieta=1, ET=30, H/E<=0.12890625
31 66 # ieta=1, ET=31, H/E<=0.12890625
32 66 # ieta=1, ET=32, H/E<=0.12890625
33 66 # ieta=1, ET=33, H/E<=0.12890625
34 66 # ieta=1, ET=34, H/E<=0.12890625
35 66 # ieta=1, ET=35, H/E<=0.12890625
36 66 # ieta=1, ET=36, H/E<=0.12890625
37 66 # ieta=1, ET=37, H/E<=0.12890625
38 66 # ieta=1, ET=38, H/E<=0.12890625
39 48 # ieta=1, ET=39, H/E<=0.09375
40 48 # ieta=1, ET=40, H/E<=0.09375
41 48 # ieta=1, ET=41, H/E<=0.09375
42 48 # ieta=1, ET=42, H/E<=0.09375
43 48 # ieta=1, ET=43, H/E<=0.09375
44 48 # ieta=1, ET=44, H/E<=0.09375
45 48 # ieta=1, ET=45, H/E<=0.09375
46 48 # ieta=1, ET=46, H/E<=0.09375
47 48 # ieta=1, ET=47, H/E<=0.09375
48 48 # ieta=1, ET=48, H/E<=0.09375
49 48 # ieta=1, ET=49, H/E<=0.09375
50 48 # ieta=1, ET=50, H/E<=0.09375
51 48 # ieta=1, ET=51, H/E<=0.09375
52 48 # ieta=1, ET=52, H/E<=0.09375
53 48 # ieta=1, ET=53, H/E<=0.09375
54 48 # ieta=1, ET=54, H/E<=0.09375
55 48 # ieta=1, ET=55, H/E<=0.09375
56 48 # ieta=1, ET=56, H/E<=0.09375
57 48 # ieta=1, ET=57, H/E<=0.09375
58 48 # ieta=1, ET=58, H/E<=0.09375
59 38 # ieta=1, ET=59, H/E<=0.07421875
60 38 # ieta=1, ET=60, H/E<=0.07421875
61 38 # ieta=1, ET=61, H/E<=0.07421875
62 38 # ieta=1, ET=62, H/E<=0.07421875
63 38 # ieta=1, ET=63, H/E<=0.07421875
64 38 # ieta=1, ET=64, H/E<=0.07421875
65 38 # ieta=1, ET=65, H/E<=0.07421875
66 38 # ieta=1, ET=66, H/E<=0.07421875
67 38 # ieta=1, ET=67, H/E<=0.07421875
68 38 # ieta=1, ET=68, H/E<=0.07421875
69 28 # ieta=1, ET=69, H/E<=0.0546875
70 28 # ieta=1, ET=70, H/E<=0.0546875
71 28 # ieta=1, ET=71, H/E<=0.0546875
72 28 # ieta=1, ET=72, H/E<=0.0546875
73 28 # ieta=1, ET=73, H/E<=0.0546875
74 28 # ieta=1, ET=74, H/E<=0.0546875
75 28 # ieta=1, ET=75, H/E<=0.0546875
76 28 # ieta=1, ET=76, H/E<=0.0546875
77 28 # ieta=1, ET=77, H/E<=0.0546875
78 28 # ieta=1, ET=78, H/E<=0.0546875
79 26 # ieta=1, ET=79, H/E<=0.05078125
80 26 # ieta=1, ET=80, H/E<=0.05078125
81 26 # ieta=1, ET=81, H/E<=0.05078125
82 26 # ieta=1, ET=82, H/E<=0.05078125
83 26 # ieta=1, ET=83, H/E<=0.05078125
84 26 # ieta=1, ET=84, H/E<=0.05078125
85 26 # ieta=1, ET=85, H/E<=0.05078125
86 26 # ieta=1, ET=86, H/E<=0.05078125
87 26 # ieta=1, ET=87, H/E<=0.05078125
88 26 # ieta=1, ET=88, H/E<=0.05078125
89 34 # ieta=1, ET=89, H/E<=0.06640625
90 34 # ieta=1, ET=90, H/E<=0.06640625
91 34 # ieta=1, ET=91, H/E<=0.06640625
92 34 # ieta=1, ET=92, H/E<=0.06640625
93 34 # ieta=1, ET=93, H/E<=0.06640625
94 34 # ieta=1, ET=94, H/E<=0.06640625
95 34 # ieta=1, ET=95, H/E<=0.06640625
96 34 # ieta=1, ET=96, H/E<=0.06640625
97 34 # ieta=1, ET=97, H/E<=0.06640625
98 34 # ieta=1, ET=98, H/E<=0.06640625
99 28 # ieta=1, ET=99, H/E<=0.0546875
100 28 # ieta=1, ET=100, H/E<=0.0546875
101 28 # ieta=1, ET=101, H/E<=0.0546875
102 28 # ieta=1, ET=102, H/E<=0.0546875
103 28 # ieta=1, ET=103, H/E<=0.0546875
104 28 # ieta=1, ET=104, H/E<=0.0546875
105 28 # ieta=1, ET=105, H/E<=0.0546875
106 28 # ieta=1, ET=106, H/E<=0.0546875
107 28 # ieta=1, ET=107, H/E<=0.0546875
108 28 # ieta=1, ET=108, H/E<=0.0546875
109 48 # ieta=1, ET=109, H/E<=0.09375
110 48 # ieta=1, ET=110, H/E<=0.09375
111 48 # ieta=1, ET=111, H/E<=0.09375
112 48 # ieta=1, ET=112, H/E<=0.09375
113 48 # ieta=1, ET=113, H/E<=0.09375
114 48 # ieta=1, ET=114, H/E<=0.09375
115 48 # ieta=1, ET=115, H/E<=0.09375
116 48 # ieta=1, ET=116, H/E<=0.09375
117 48 # ieta=1, ET=117, H/E<=0.09375
118 48 # ieta=1, ET=118, H/E<=0.09375
119 34 # ieta=1, ET=119, H/E<=0.06640625
120 34 # ieta=1, ET=120, H/E<=0.06640625
121 34 # ieta=1, ET=121, H/E<=0.06640625
122 34 # ieta=1, ET=122, H/E<=0.06640625
123 34 # ieta=1, ET=123, H/E<=0.06640625
124 34 # ieta=1, ET=124, H/E<=0.06640625
125 34 # ieta=1, ET=125, H/E<=0.06640625
126 34 # ieta=1, ET=126, H/E<=0.06640625
127 34 # ieta=1, ET=127, H/E<=0.06640625
128 34 # ieta=1, ET=128, H/E<=0.06640625
129 34 # ieta=1, ET=129, H/E<=0.06640625
130 34 # ieta=1, ET=130, H/E<=0.06640625
131 34 # ieta=1, ET=131, H/E<=0.06640625
132 34 # ieta=1, ET=132, H/E<=0.06640625
133 34 # ieta=1, ET=133, H/E<=0.06640625
134 34 # ieta=1, ET=134, H/E<=0.06640625
135 34 # ieta=1, ET=135, H/E<=0.06640625
136 34 # ieta=1, ET=136, H/E<=0.06640625
137 34 # ieta=1, ET=137, H/E<=0.06640625
138 34 # ieta=1, ET=138, H/E<=0.06640625
139 38 # ieta=1, ET=139, H/E<=0.07421875
140 38 # ieta=1, ET=140, H/E<=0.07421875
141 38 # ieta=1, ET=141, H/E<=0.07421875
142 38 # ieta=1, ET=142, H/E<=0.07421875
143 38 # ieta=1, ET=143, H/E<=0.07421875
144 38 # ieta=1, ET=144, H/E<=0.07421875
145 38 # ieta=1, ET=145, H/E<=0.07421875
146 38 # ieta=1, ET=146, H/E<=0.07421875
147 38 # ieta=1, ET=147, H/E<=0.07421875
148 38 # ieta=1, ET=148, H/E<=0.07421875
149 38 # ieta=1, ET=149, H/E<=0.07421875
150 38 # ieta=1, ET=150, H/E<=0.07421875
151 38 # ieta=1, ET=151, H/E<=0.07421875
152 38 # ieta=1, ET=152, H/E<=0.07421875
153 38 # ieta=1, ET=153, H/E<=0.07421875
154 38 # ieta=1, ET=154, H/E<=0.07421875
155 38 # ieta=1, ET=155, H/E<=0.07421875
156 38 # ieta=1, ET=156, H/E<=0.07421875
157 38 # ieta=1, ET=157, H/E<=0.07421875
158 38 # ieta=1, ET=158, H/E<=0.07421875
159 66 # ieta=1, ET=159, H/E<=0.12890625
160 66 # ieta=1, ET=160, H/E<=0.12890625
161 66 # ieta=1, ET=161, H/E<=0.12890625
162 66 # ieta=1, ET=162, H/E<=0.12890625
163 66 # ieta=1, ET=163, H/E<=0.12890625
164 66 # ieta=1, ET=164, H/E<=0.12890625
165 66 # ieta=1, ET=165, H/E<=0.12890625
166 66 # ieta=1, ET=166, H/E<=0.12890625
167 66 # ieta=1, ET=167, H/E<=0.12890625
168 66 # ieta=1, ET=168, H/E<=0.12890625
169 66 # ieta=1, ET=169, H/E<=0.12890625
170 511 # ieta=1, ET=170, H/E<=0.998046875
171 511 # ieta=1, ET=171, H/E<=0.998046875
172 511 # ieta=1, ET=172, H/E<=0.998046875
173 511 # ieta=1, ET=173, H/E<=0.998046875
174 511 # ieta=1, ET=174, H/E<=0.998046875
175 511 # ieta=1, ET=175, H/E<=0.998046875
176 511 # ieta=1, ET=176, H/E<=0.998046875
177 511 # ieta=1, ET=177, H/E<=0.998046875
178 511 # ieta=1, ET=178, H/E<=0.998046875
179 511 # ieta=1, ET=179, H/E<=0.998046875
180 511 # ieta=1, ET=180, H/E<=0.998046875
181 511 # ieta=1, ET=181, H/E<=0.998046875
182 511 # ieta=1, ET=182, H/E<=0.998046875
183 511 # ieta=1, ET=183, H/E<=0.998046875
184 511 # ieta=1, ET=184, H/E<=0.998046875
185 511 # ieta=1, ET=185, H/E<=0.998046875
186 511 # ieta=1, ET=186, H/E<=0.998046875
187 511 # ieta=1, ET=187, H/E<=0.998046875
188 511 # ieta=1, ET=188, H/E<=0.998046875
189 511 # ieta=1, ET=189, H/E<=0.998046875
190 511 # ieta=1, ET=190, H/E<=0.998046875
191 511 # ieta=1, ET=191, H/E<=0.998046875
192 511 # ieta=1, ET=192, H/E<=0.998046875
193 511 # ieta=1, ET=193, H/E<=0.998046875
194 511 # ieta=1, ET=194, H/E<=0.998046875
195 511 # ieta=1, ET=195, H/E<=0.998046875
196 511 # ieta=1, ET=196, H/E<=0.998046875
197 511 # ieta=1, ET=197, H/E<=0.998046875
198 511 # ieta=1, ET=198, H/E<=0.998046875
199 511 # ieta=1, ET=199, H/E<=0.998046875
200 511 # ieta=1, ET=200, H/E<=0.998046875
201 511 # ieta=1, ET=201, H/E<=0.998046875
202 511 # ieta=1, ET=202, H/E<=0.998046875
203 511 # ieta=1, ET=203, H/E<=0.998046875
204 511 # ieta=1, ET=204, H/E<=0.998046875
205 511 # ieta=1, ET=205, H/E<=0.998046875
206 511 # ieta=1, ET=206, H/E<=0.998046875
207 511 # ieta=1, ET=207, H/E<=0.998046875
208 511 # ieta=1, ET=208, H/E<=0.998046875
209 511 # ieta=1, ET=209, H/E<=0.998046875
210 511 # ieta=1, ET=210, H/E<=0.998046875
211 511 # ieta=1, ET=211, H/E<=0.998046875
212 511 # ieta=1, ET=212, H/E<=0.998046875
213 511 # ieta=1, ET=213, H/E<=0.998046875
214 511 # ieta=1, ET=214, H/E<=0.998046875
215 511 # ieta=1, ET=215, H/E<=0.998046875
216 511 # ieta=1, ET=216, H/E<=0.998046875
217 511 # ieta=1, ET=217, H/E<=0.998046875
218 511 # ieta=1, ET=218, H/E<=0.998046875
219 511 # ieta=1, ET=219, H/E<=0.998046875
220 511 # ieta=1, ET=220, H/E<=0.998046875
221 511 # ieta=1, ET=221, H/E<=0.998046875
222 511 # ieta=1, ET=222, H/E<=0.998046875
223 511 # ieta=1, ET=223, H/E<=0.998046875
224 511 # ieta=1, ET=224, H/E<=0.998046875
225 511 # ieta=1, ET=225, H/E<=0.998046875
226 511 # ieta=1, ET=226, H/E<=0.998046875
227 511 # ieta=1, ET=227, H/E<=0.998046875
228 511 # ieta=1, ET=228, H/E<=0.998046875
229 511 # ieta=1, ET=229, H/E<=0.998046875
230 511 # ieta=1, ET=230, H/E<=0.998046875
231 511 # ieta=1, ET=231, H/E<=0.998046875
232 511 # ieta=1, ET=232, H/E<=0.998046875
233 511 # ieta=1, ET=233, H/E<=0.998046875
234 511 # ieta=1, ET=234, H/E<=0.998046875
235 511 # ieta=1, ET=235, H/E<=0.998046875
236 511 # ieta=1, ET=236, H/E<=0.998046875
237 511 # ieta=1, ET=237, H/E<=0.998046875
238 511 # ieta=1, ET=238, H/E<=0.998046875
239 511 # ieta=1, ET=239, H/E<=0.998046875
240 511 # ieta=1, ET=240, H/E<=0.998046875
241 511 # ieta=1, ET=241, H/E<=0.998046875
242 511 # ieta=1, ET=242, H/E<=0.998046875
243 511 # ieta=1, ET=243, H/E<=0.998046875
244 511 # ieta=1, ET=244, H/E<=0.998046875
245 511 # ieta=1, ET=245, H/E<=0.998046875
246 511 # ieta=1, ET=246, H/E<=0.998046875
247 511 # ieta=1, ET=247, H/E<=0.998046875
248 511 # ieta=1, ET=248, H/E<=0.998046875
249 511 # ieta=1, ET=249, H/E<=0.998046875
250 511 # ieta=1, ET=250, H/E<=0.998046875
251 511 # ieta=1, ET=251, H/E<=0.998046875
252 511 # ieta=1, ET=252, H/E<=0.998046875
253 511 # ieta=1, ET=253, H/E<=0.998046875
254 511 # ieta=1, ET=254, H/E<=0.998046875
255 511 # ieta=1, ET=255, H/E<=0.998046875
256 49 # ieta=2, ET=0, H/E<=0.095703125
257 49 # ieta=2, ET=1, H/E<=0.095703125
258 49 # ieta=2, ET=2, H/E<=0.095703125
259 49 # ieta=2, ET=3, H/E<=0.095703125
260 49 # ieta=2, ET=4, H/E<=0.095703125
261 49 # ieta=2, ET=5, H/E<=0.095703125
262 49 # ieta=2, ET=6, H/E<=0.095703125
263 49 # ieta=2, ET=7, H/E<=0.095703125
264 49 # ieta=2, ET=8, H/E<=0.095703125
265 49 # ieta=2, ET=9, H/E<=0.095703125
266 49 # ieta=2, ET=10, H/E<=0.095703125
267 49 # ieta=2, ET=11, H/E<=0.095703125
268 49 # ieta=2, ET=12, H/E<=0.095703125
269 49 # ieta=2, ET=13, H/E<=0.095703125
270 49 # ieta=2, ET=14, H/E<=0.095703125
271 49 # ieta=2, ET=15, H/E<=0.095703125
272 49 # ieta=2, ET=16, H/E<=0.095703125
273 49 # ieta=2, ET=17, H/E<=0.095703125
274 49 # ieta=2, ET=18, H/E<=0.095703125
275 49 # ieta=2, ET=19, H/E<=0.095703125
276 49 # ieta=2, ET=20, H/E<=0.095703125
277 49 # ieta=2, ET=21, H/E<=0.095703125
278 49 # ieta=2, ET=22, H/E<=0.095703125
279 49 # ieta=2, ET=23, H/E<=0.095703125
280 49 # ieta=2, ET=24, H/E<=0.095703125
281 49 # ieta=2, ET=25, H/E<=0.095703125
282 49 # ieta=2, ET=26, H/E<=0.095703125
283 49 # ieta=2, ET=27, H/E<=0.095703125
284 49 # ieta=2, ET=28, H/E<=0.095703125
285 49 # ieta=2, ET=29, H/E<=0.095703125
286 49 # ieta=2, ET=30, H/E<=0.095703125
287 49 # ieta=2, ET=31, H/E<=0.095703125
288 49 # ieta=2, ET=32, H/E<=0.095703125
289 49 # ieta=2, ET=33, H/E<=0.095703125
290 49 # ieta=2, ET=34, H/E<=0.095703125
291 49 # ieta=2, ET=35, H/E<=0.095703125
292 49 # ieta=2, ET=36, H/E<=0.095703125
293 49 # ieta=2, ET=37, H/E<=0.095703125
294 49 # ieta=2, ET=38, H/E<=0.095703125
295 38 # ieta=2, ET=39, H/E<=0.07421875
296 38 # ieta=2, ET=40, H/E<=0.07421875
297 38 # ieta=2, ET=41, H/E<=0.07421875
298 38 # ieta=2, ET=42, H/E<=0.07421875
299 38 # ieta=2, ET=43, H/E<=0.07421875
300 38 # ieta=2, ET=44, H/E<=0.07421875
301 38 # ieta=2, ET=45, H/E<=0.07421875
302 38 # ieta=2, ET=46, H/E<=0.07421875
303 38 # ieta=2, ET=47, H/E<=0.07421875
304 38 # ieta=2, ET=48, H/E<=0.07421875
305 38 # ieta=2, ET=49, H/E<=0.07421875
306 38 # ieta=2, ET=50, H/E<=0.07421875
307 38 # ieta=2, ET=51, H/E<=0.07421875
308 38 # ieta=2, ET=52, H/E<=0.07421875
309 38 # ieta=2, ET=53, H/E<=0.07421875
310 38 # ieta=2, ET=54, H/E<=0.07421875
311 38 # ieta=2, ET=55, H/E<=0.07421875
312 38 # ieta=2, ET=56, H/E<=0.07421875
313 38 # ieta=2, ET=57, H/E<=0.07421875
314 38 # ieta=2, ET=58, H/E<=0.07421875
315 28 # ieta=2, ET=59, H/E<=0.0546875
316 28 # ieta=2, ET=60, H/E<=0.0546875
317 28 # ieta=2, ET=61, H/E<=0.0546875
318 28 # ieta=2, ET=62, H/E<=0.0546875
319 28 # ieta=2, ET=63, H/E<=0.0546875
320 28 # ieta=2, ET=64, H/E<=0.0546875
321 28 # ieta=2, ET=65, H/E<=0.0546875
322 28 # ieta=2, ET=66, H/E<=0.0546875
323 28 # ieta=2, ET=67, H/E<=0.0546875
324 28 # ieta=2, ET=68, H/E<=0.0546875
325 22 # ieta=2, ET=69, H/E<=0.04296875
326 22 # ieta=2, ET=70, H/E<=0.04296875
327 22 # ieta=2, ET=71, H/E<=0.04296875
328 22 # ieta=2, ET=72, H/E<=0.04296875
329 22 # ieta=2, ET=73, H/E<=0.04296875
330 22 # ieta=2, ET=74, H/E<=0.04296875
331 22 # ieta=2, ET=75, H/E<=0.04296875
332 22 # ieta=2, ET=76, H/E<=0.04296875
333 22 # ieta=2, ET=77, H/E<=0.04296875
334 22 # ieta=2, ET=78, H/E<=0.04296875
335 21 # ieta=2, ET=79, H/E<=0.041015625
336 21 # ieta=2, ET=80, H/E<=0.041015625
337 21 # ieta=2, ET=81, H/E<=0.041015625
338 21 # ieta=2, ET=82, H/E<=0.041015625
339 21 # ieta=2, ET=83, H/E<=0.041015625
340 21 # ieta=2, ET=84, H/E<=0.041015625
341 21 # ieta=2, ET=85, H/E<=0.041015625
342 21 # ieta=2, ET=86, H/E<=0.041015625
343 21 # ieta=2, ET=87, H/E<=0.041015625
344 21 # ieta=2, ET=88, H/E<=0.041015625
345 25 # ieta=2, ET=89, H/E<=0.048828125
346 25 # ieta=2, ET=90, H/E<=0.048828125
347 25 # ieta=2, ET=91, H/E<=0.048828125
348 25 # ieta=2, ET=92, H/E<=0.048828125
349 25 # ieta=2, ET=93, H/E<=0.048828125
350 25 # ieta=2, ET=94, H/E<=0.048828125
351 25 # ieta=2, ET=95, H/E<=0.048828125
352 25 # ieta=2, ET=96, H/E<=0.048828125
353 25 # ieta=2, ET=97, H/E<=0.048828125
354 25 # ieta=2, ET=98, H/E<=0.048828125
355 22 # ieta=2, ET=99, H/E<=0.04296875
356 22 # ieta=2, ET=100, H/E<=0.04296875
357 22 # ieta=2, ET=101, H/E<=0.04296875
358 22 # ieta=2, ET=102, H/E<=0.04296875
359 22 # ieta=2, ET=103, H/E<=0.04296875
360 22 # ieta=2, ET=104, H/E<=0.04296875
361 22 # ieta=2, ET=105, H/E<=0.04296875
362 22 # ieta=2, ET=106, H/E<=0.04296875
363 22 # ieta=2, ET=107, H/E<=0.04296875
364 22 # ieta=2, ET=108, H/E<=0.04296875
365 38 # ieta=2, ET=109, H/E<=0.07421875
366 38 # ieta=2, ET=110, H/E<=0.07421875
367 38 # ieta=2, ET=111, H/E<=0.07421875
368 38 # ieta=2, ET=112, H/E<=0.07421875
369 38 # ieta=2, ET=113, H/E<=0.07421875
370 38 # ieta=2, ET=114, H/E<=0.07421875
371 38 # ieta=2, ET=115, H/E<=0.07421875
372 38 # ieta=2, ET=116, H/E<=0.07421875
373 38 # ieta=2, ET=117, H/E<=0.07421875
374 38 # ieta=2, ET=118, H/E<=0.07421875
375 25 # ieta=2, ET=119, H/E<=0.048828125
376 25 # ieta=2, ET=120, H/E<=0.048828125
377 25 # ieta=2, ET=121, H/E<=0.048828125
378 25 # ieta=2, ET=122, H/E<=0.048828125
379 25 # ieta=2, ET=123, H/E<=0.048828125
380 25 # ieta=2, ET=124, H/E<=0.048828125
381 25 # ieta=2, ET=125, H/E<=0.048828125
382 25 # ieta=2, ET=126, H/E<=0.048828125
383 25 # ieta=2, ET=127, H/E<=0.048828125
384 25 # ieta=2, ET=128, H/E<=0.048828125
385 25 # ieta=2, ET=129, H/E<=0.048828125
386 25 # ieta=2, ET=130, H/E<=0.048828125
387 25 # ieta=2, ET=131, H/E<=0.048828125
388 25 # ieta=2, ET=132, H/E<=0.048828125
389 25 # ieta=2, ET=133, H/E<=0.048828125
390 25 # ieta=2, ET=134, H/E<=0.048828125
391 25 # ieta=2, ET=135, H/E<=0.048828125
392 25 # ieta=2, ET=136, H/E<=0.048828125
393 25 # ieta=2, ET=137, H/E<=0.048828125
394 25 # ieta=2, ET=138, H/E<=0.048828125
395 28 # ieta=2, ET=139, H/E<=0.0546875
396 28 # ieta=2, ET=140, H/E<=0.0546875
397 28 # ieta=2, ET=141, H/E<=0.0546875
398 28 # ieta=2, ET=142, H/E<=0.0546875
399 28 # ieta=2, ET=143, H/E<=0.0546875
400 28 # ieta=2, ET=144, H/E<=0.0546875
401 28 # ieta=2, ET=145, H/E<=0.0546875
402 28 # ieta=2, ET=146, H/E<=0.0546875
403 28 # ieta=2, ET=147, H/E<=0.0546875
404 28 # ieta=2, ET=148, H/E<=0.0546875
