    Tx		    Rx
Conn.	Pin	Conn.	Pin
1	0	3	7
1	1	4	6
1	2	5	5
1	3	0	4
1	4	2	3
1	5	10	5
1	6	9	6
1	7	11	7
2	0	4	7
2	1	5	6
2	2	3	5
2	3	1	4
2	4	0	3
2	5	9	5
2	6	11	6
2	7	10	7
0	0	5	7
0	1	3	6
0	2	4	5
0	3	2	4
0	4	1	3
0	5	11	5
0	6	10	6
0	7	9	7
4	0	6	2
4	1	7	1
4	2	8	0
4	3	3	4
4	4	5	3
4	5	0	2
4	6	1	1
4	7	2	0
5	0	7	2
5	1	8	1
5	2	6	0
5	3	4	4
5	4	3	3
5	5	1	2
5	6	2	1
5	7	0	0
3	0	8	2
3	1	6	1
3	2	7	0
3	3	5	4
3	4	4	3
3	5	2	2
3	6	0	1
3	7	1	0
7	0	3	2
7	1	4	1
7	2	5	0
7	3	6	4
7	4	8	3
7	5	9	2
7	6	10	1
7	7	11	0
8	0	4	2
8	1	5	1
8	2	3	0
8	3	7	4
8	4	6	3
8	5	10	2
8	6	11	1
8	7	9	0
6	0	5	2
6	1	3	1
6	2	4	0
6	3	8	4
6	4	7	3
6	5	11	2
6	6	9	1
6	7	10	0
10	0	6	7
10	1	7	6
10	2	8	5
10	3	9	4
10	4	11	3
10	5	1	5
10	6	0	6
10	7	2	7
11	0	7	7
11	1	8	6
11	2	6	5
11	3	10	4
11	4	9	3
11	5	0	5
11	6	2	6
11	7	1	7
9	0	8	7
9	1	6	6
9	2	7	5
9	3	11	4
9	4	10	3
9	5	2	5
9	6	1	6
9	7	0	7
