mH_GeV 	H_gg 	        H_gamgam 	H_Zgam  	H_WW 	        H_ZZ 	        Total_Width_GeV
90.0 	6.12E-02 	1.23E-03 	0.00E+00 	2.09E-03 	4.21E-04 	2.20E-03
95.0 	6.74E-02 	1.40E-03 	4.52E-06 	4.72E-03 	6.72E-04 	2.32E-03
100.0 	7.37E-02 	1.59E-03 	4.98E-05 	1.11E-02 	1.13E-03 	2.46E-03
105.0 	7.95E-02 	1.78E-03 	1.73E-04 	2.43E-02 	2.15E-03 	2.62E-03
110.0 	8.44E-02 	1.97E-03 	3.95E-04 	4.82E-02 	4.39E-03 	2.82E-03
110.5 	8.48E-02 	1.99E-03 	4.22E-04 	5.13E-02 	4.71E-03 	2.84E-03
111.0 	8.52E-02 	2.00E-03 	4.51E-04 	5.46E-02 	5.05E-03 	2.87E-03
111.5 	8.56E-02 	2.02E-03 	4.81E-04 	5.80E-02 	5.42E-03 	2.89E-03
112.0 	8.59E-02 	2.04E-03 	5.12E-04 	6.16E-02 	5.82E-03 	2.92E-03
112.5 	8.62E-02 	2.05E-03 	5.44E-04 	6.54E-02 	6.23E-03 	2.95E-03
113.0 	8.65E-02 	2.07E-03 	5.76E-04 	6.93E-02 	6.68E-03 	2.97E-03
113.5 	8.68E-02 	2.09E-03 	6.10E-04 	7.34E-02 	7.15E-03 	3.00E-03
114.0 	8.71E-02 	2.10E-03 	6.44E-04 	7.76E-02 	7.64E-03 	3.03E-03
114.5 	8.73E-02 	2.12E-03 	6.80E-04 	8.21E-02 	8.17E-03 	3.06E-03
115.0 	8.75E-02 	2.13E-03 	7.16E-04 	8.67E-02 	8.72E-03 	3.09E-03
115.5 	8.77E-02 	2.15E-03 	7.53E-04 	9.14E-02 	9.31E-03 	3.13E-03
116.0 	8.79E-02 	2.16E-03 	7.91E-04 	9.64E-02 	9.92E-03 	3.16E-03
116.5 	8.80E-02 	2.17E-03 	8.29E-04 	1.02E-01 	1.06E-02 	3.19E-03
117.0 	8.81E-02 	2.18E-03 	8.68E-04 	1.07E-01 	1.12E-02 	3.23E-03
117.5 	8.82E-02 	2.20E-03 	9.08E-04 	1.12E-01 	1.20E-02 	3.27E-03
118.0 	8.82E-02 	2.21E-03 	9.49E-04 	1.18E-01 	1.27E-02 	3.31E-03
118.5 	8.83E-02 	2.22E-03 	9.90E-04 	1.24E-01 	1.35E-02 	3.35E-03
