mH_GeV 	H_4e 	        H_2e2m          H_4l_em         H_4l_emt        H_evev          H_evmv          H_llvv_em       H_llvv_emt
90.0 	7.08E-07 	9.39E-07 	2.35E-06 	4.94E-06 	1.77E-05 	2.45E-05 	9.21E-05 	2.12E-04
95.0 	1.11E-06 	1.49E-06 	3.71E-06 	7.80E-06 	4.46E-05 	5.54E-05 	2.12E-04 	4.85E-04
100.0 	1.80E-06 	2.51E-06 	6.12E-06 	1.29E-05 	1.14E-04 	1.30E-04 	5.08E-04 	1.15E-03
105.0 	3.21E-06 	4.78E-06 	1.12E-05 	2.40E-05 	2.62E-04 	2.85E-04 	1.13E-03 	2.56E-03
110.0 	6.10E-06 	9.78E-06 	2.20E-05 	4.76E-05 	5.37E-04 	5.66E-04 	2.28E-03 	5.12E-03
110.5 	6.51E-06 	1.05E-05 	2.35E-05 	5.10E-05 	5.73E-04 	6.03E-04 	2.44E-03 	5.46E-03
111.0 	6.94E-06 	1.13E-05 	2.52E-05 	5.47E-05 	6.11E-04 	6.41E-04 	2.60E-03 	5.82E-03
111.5 	7.40E-06 	1.21E-05 	2.69E-05 	5.85E-05 	6.51E-04 	6.82E-04 	2.76E-03 	6.19E-03
112.0 	7.89E-06 	1.30E-05 	2.88E-05 	6.27E-05 	6.93E-04 	7.24E-04 	2.94E-03 	6.58E-03
112.5 	8.41E-06 	1.39E-05 	3.08E-05 	6.70E-05 	7.37E-04 	7.68E-04 	3.12E-03 	6.99E-03
113.0 	8.96E-06 	1.49E-05 	3.28E-05 	7.16E-05 	7.83E-04 	8.14E-04 	3.31E-03 	7.41E-03
113.5 	9.55E-06 	1.60E-05 	3.51E-05 	7.66E-05 	8.31E-04 	8.62E-04 	3.52E-03 	7.86E-03
114.0 	1.02E-05 	1.71E-05 	3.74E-05 	8.17E-05 	8.81E-04 	9.12E-04 	3.72E-03 	8.32E-03
114.5 	1.08E-05 	1.83E-05 	3.99E-05 	8.72E-05 	9.33E-04 	9.64E-04 	3.94E-03 	8.81E-03
115.0 	1.15E-05 	1.95E-05 	4.25E-05 	9.30E-05 	9.87E-04 	1.02E-03 	4.17E-03 	9.31E-03
115.5 	1.22E-05 	2.08E-05 	4.52E-05 	9.91E-05 	1.04E-03 	1.07E-03 	4.40E-03 	9.83E-03
116.0 	1.29E-05 	2.22E-05 	4.81E-05 	1.05E-04 	1.10E-03 	1.13E-03 	4.65E-03 	1.04E-02
116.5 	1.37E-05 	2.37E-05 	5.11E-05 	1.12E-04 	1.16E-03 	1.19E-03 	4.90E-03 	1.09E-02
117.0 	1.46E-05 	2.52E-05 	5.43E-05 	1.19E-04 	1.23E-03 	1.26E-03 	5.17E-03 	1.15E-02
117.5 	1.54E-05 	2.68E-05 	5.76E-05 	1.27E-04 	1.29E-03 	1.32E-03 	5.44E-03 	1.21E-02
118.0 	1.63E-05 	2.85E-05 	6.11E-05 	1.34E-04 	1.36E-03 	1.39E-03 	5.72E-03 	1.27E-02
118.5 	1.73E-05 	3.02E-05 	6.47E-05 	1.42E-04 	1.43E-03 	1.46E-03 	6.01E-03 	1.34E-02
119.0 	1.82E-05 	3.20E-05 	6.85E-05 	1.51E-04 	1.50E-03 	1.53E-03 	6.31E-03 	1.41E-02
119.5 	1.93E-05 	3.39E-05 	7.25E-05 	1.60E-04 	1.58E-03 	1.60E-03 	6.62E-03 	1.47E-02
120.0 	2.03E-05 	3.59E-05 	7.66E-05 	1.69E-04 	1.65E-03 	1.68E-03 	6.94E-03 	1.54E-02
