#     Non-channel data
  RctLsb  0.50000
    Gain  0.17700
#             eta             phi             dep             det   Rcalib  LutGranularity  OutputLutThreshold      DetId
               -1               1               1              HB  1.20000               1                   0   42004081
               -2               1               1              HB  1.20000               1                   0   42004101
               -3               1               1              HB  1.20000               1                   0   42004181
               -4               1               1              HB  1.20000               1                   0   42004201
               -5               1               1              HB  1.20000               1                   0   42004281
               -6               1               1              HB  1.20000               1                   0   42004301
               -7               1               1              HB  1.20000               1                   0   42004381
               -8               1               1              HB  1.20000               1                   0   42004401
               -9               1               1              HB  1.20000               1                   0   42004481
              -10               1               1              HB  1.20000               1                   0   42004501
              -11               1               1              HB  1.20000               1                   0   42004581
              -12               1               1              HB  1.20000               1                   0   42004601
              -13               1               1              HB  1.20000               1                   0   42004681
              -14               1               1              HB  1.20000               1                   0   42004701
              -15               1               1              HB  1.20000               1                   0   42004781
              -15               1               2              HB  1.20000               1                   0   42008781
              -16               1               1              HB  1.20000               1                   0   42004801
              -16               1               2              HB  1.20000               1                   0   42008801
               -1               2               1              HB  1.20000               1                   0   42004082
               -2               2               1              HB  1.20000               1                   0   42004102
               -3               2               1              HB  1.20000               1                   0   42004182
               -4               2               1              HB  1.20000               1                   0   42004202
               -5               2               1              HB  1.20000               1                   0   42004282
               -6               2               1              HB  1.20000               1                   0   42004302
               -7               2               1              HB  1.20000               1                   0   42004382
               -8               2               1              HB  1.20000               1                   0   42004402
               -9               2               1              HB  1.20000               1                   0   42004482
              -10               2               1              HB  1.20000               1                   0   42004502
              -11               2               1              HB  1.20000               1                   0   42004582
              -12               2               1              HB  1.20000               1                   0   42004602
              -13               2               1              HB  1.20000               1                   0   42004682
              -14               2               1              HB  1.20000               1                   0   42004702
              -15               2               1              HB  1.20000               1                   0   42004782
              -15               2               2              HB  1.20000               1                   0   42008782
              -16               2               1              HB  1.20000               1                   0   42004802
              -16               2               2              HB  1.20000               1                   0   42008802
               -1               3               1              HB  1.20000               1                   0   42004083
               -2               3               1              HB  1.20000               1                   0   42004103
               -3               3               1              HB  1.20000               1                   0   42004183
               -4               3               1              HB  1.20000               1                   0   42004203
               -5               3               1              HB  1.20000               1                   0   42004283
               -6               3               1              HB  1.20000               1                   0   42004303
               -7               3               1              HB  1.20000               1                   0   42004383
               -8               3               1              HB  1.20000               1                   0   42004403
               -9               3               1              HB  1.20000               1                   0   42004483
              -10               3               1              HB  1.20000               1                   0   42004503
              -11               3               1              HB  1.20000               1                   0   42004583
              -12               3               1              HB  1.20000               1                   0   42004603
              -13               3               1              HB  1.20000               1                   0   42004683
              -14               3               1              HB  1.20000               1                   0   42004703
              -15               3               1              HB  1.20000               1                   0   42004783
              -15               3               2              HB  1.20000               1                   0   42008783
              -16               3               1              HB  1.20000               1                   0   42004803
              -16               3               2              HB  1.20000               1                   0   42008803
               -1               4               1              HB  1.20000               1                   0   42004084
               -2               4               1              HB  1.20000               1                   0   42004104
               -3               4               1              HB  1.20000               1                   0   42004184
               -4               4               1              HB  1.20000               1                   0   42004204
               -5               4               1              HB  1.20000               1                   0   42004284
               -6               4               1              HB  1.20000               1                   0   42004304
               -7               4               1              HB  1.20000               1                   0   42004384
               -8               4               1              HB  1.20000               1                   0   42004404
               -9               4               1              HB  1.20000               1                   0   42004484
              -10               4               1              HB  1.20000               1                   0   42004504
              -11               4               1              HB  1.20000               1                   0   42004584
              -12               4               1              HB  1.20000               1                   0   42004604
              -13               4               1              HB  1.20000               1                   0   42004684
              -14               4               1              HB  1.20000               1                   0   42004704
              -15               4               1              HB  1.20000               1                   0   42004784
              -15               4               2              HB  1.20000               1                   0   42008784
              -16               4               1              HB  1.20000               1                   0   42004804
              -16               4               2              HB  1.20000               1                   0   42008804
               -1               5               1              HB  1.20000               1                   0   42004085
               -2               5               1              HB  1.20000               1                   0   42004105
               -3               5               1              HB  1.20000               1                   0   42004185
               -4               5               1              HB  1.20000               1                   0   42004205
               -5               5               1              HB  1.20000               1                   0   42004285
               -6               5               1              HB  1.20000               1                   0   42004305
               -7               5               1              HB  1.20000               1                   0   42004385
               -8               5               1              HB  1.20000               1                   0   42004405
               -9               5               1              HB  1.20000               1                   0   42004485
              -10               5               1              HB  1.20000               1                   0   42004505
              -11               5               1              HB  1.20000               1                   0   42004585
              -12               5               1              HB  1.20000               1                   0   42004605
              -13               5               1              HB  1.20000               1                   0   42004685
              -14               5               1              HB  1.20000               1                   0   42004705
              -15               5               1              HB  1.20000               1                   0   42004785
              -15               5               2              HB  1.20000               1                   0   42008785
              -16               5               1              HB  1.20000               1                   0   42004805
              -16               5               2              HB  1.20000               1                   0   42008805
               -1               6               1              HB  1.20000               1                   0   42004086
               -2               6               1              HB  1.20000               1                   0   42004106
               -3               6               1              HB  1.20000               1                   0   42004186
               -4               6               1              HB  1.20000               1                   0   42004206
               -5               6               1              HB  1.20000               1                   0   42004286
               -6               6               1              HB  1.20000               1                   0   42004306
               -7               6               1              HB  1.20000               1                   0   42004386
               -8               6               1              HB  1.20000               1                   0   42004406
               -9               6               1              HB  1.20000               1                   0   42004486
              -10               6               1              HB  1.20000               1                   0   42004506
              -11               6               1              HB  1.20000               1                   0   42004586
              -12               6               1              HB  1.20000               1                   0   42004606
              -13               6               1              HB  1.20000               1                   0   42004686
              -14               6               1              HB  1.20000               1                   0   42004706
              -15               6               1              HB  1.20000               1                   0   42004786
              -15               6               2              HB  1.20000               1                   0   42008786
              -16               6               1              HB  1.20000               1                   0   42004806
              -16               6               2              HB  1.20000               1                   0   42008806
               -1               7               1              HB  1.20000               1                   0   42004087
               -2               7               1              HB  1.20000               1                   0   42004107
               -3               7               1              HB  1.20000               1                   0   42004187
               -4               7               1              HB  1.20000               1                   0   42004207
               -5               7               1              HB  1.20000               1                   0   42004287
               -6               7               1              HB  1.20000               1                   0   42004307
               -7               7               1              HB  1.20000               1                   0   42004387
               -8               7               1              HB  1.20000               1                   0   42004407
               -9               7               1              HB  1.20000               1                   0   42004487
              -10               7               1              HB  1.20000               1                   0   42004507
              -11               7               1              HB  1.20000               1                   0   42004587
              -12               7               1              HB  1.20000               1                   0   42004607
              -13               7               1              HB  1.20000               1                   0   42004687
              -14               7               1              HB  1.20000               1                   0   42004707
              -15               7               1              HB  1.20000               1                   0   42004787
              -15               7               2              HB  1.20000               1                   0   42008787
              -16               7               1              HB  1.20000               1                   0   42004807
              -16               7               2              HB  1.20000               1                   0   42008807
               -1               8               1              HB  1.20000               1                   0   42004088
               -2               8               1              HB  1.20000               1                   0   42004108
               -3               8               1              HB  1.20000               1                   0   42004188
               -4               8               1              HB  1.20000               1                   0   42004208
               -5               8               1              HB  1.20000               1                   0   42004288
               -6               8               1              HB  1.20000               1                   0   42004308
               -7               8               1              HB  1.20000               1                   0   42004388
               -8               8               1              HB  1.20000               1                   0   42004408
               -9               8               1              HB  1.20000               1                   0   42004488
              -10               8               1              HB  1.20000               1                   0   42004508
              -11               8               1              HB  1.20000               1                   0   42004588
              -12               8               1              HB  1.20000               1                   0   42004608
              -13               8               1              HB  1.20000               1                   0   42004688
              -14               8               1              HB  1.20000               1                   0   42004708
              -15               8               1              HB  1.20000               1                   0   42004788
              -15               8               2              HB  1.20000               1                   0   42008788
              -16               8               1              HB  1.20000               1                   0   42004808
              -16               8               2              HB  1.20000               1                   0   42008808
               -1               9               1              HB  1.20000               1                   0   42004089
               -2               9               1              HB  1.20000               1                   0   42004109
               -3               9               1              HB  1.20000               1                   0   42004189
               -4               9               1              HB  1.20000               1                   0   42004209
               -5               9               1              HB  1.20000               1                   0   42004289
               -6               9               1              HB  1.20000               1                   0   42004309
               -7               9               1              HB  1.20000               1                   0   42004389
               -8               9               1              HB  1.20000               1                   0   42004409
               -9               9               1              HB  1.20000               1                   0   42004489
              -10               9               1              HB  1.20000               1                   0   42004509
              -11               9               1              HB  1.20000               1                   0   42004589
              -12               9               1              HB  1.20000               1                   0   42004609
              -13               9               1              HB  1.20000               1                   0   42004689
              -14               9               1              HB  1.20000               1                   0   42004709
              -15               9               1              HB  1.20000               1                   0   42004789
              -15               9               2              HB  1.20000               1                   0   42008789
              -16               9               1              HB  1.20000               1                   0   42004809
              -16               9               2              HB  1.20000               1                   0   42008809
               -1              10               1              HB  1.20000               1                   0   4200408A
               -2              10               1              HB  1.20000               1                   0   4200410A
               -3              10               1              HB  1.20000               1                   0   4200418A
               -4              10               1              HB  1.20000               1                   0   4200420A
               -5              10               1              HB  1.20000               1                   0   4200428A
               -6              10               1              HB  1.20000               1                   0   4200430A
               -7              10               1              HB  1.20000               1                   0   4200438A
               -8              10               1              HB  1.20000               1                   0   4200440A
               -9              10               1              HB  1.20000               1                   0   4200448A
              -10              10               1              HB  1.20000               1                   0   4200450A
              -11              10               1              HB  1.20000               1                   0   4200458A
              -12              10               1              HB  1.20000               1                   0   4200460A
              -13              10               1              HB  1.20000               1                   0   4200468A
              -14              10               1              HB  1.20000               1                   0   4200470A
              -15              10               1              HB  1.20000               1                   0   4200478A
              -15              10               2              HB  1.20000               1                   0   4200878A
              -16              10               1              HB  1.20000               1                   0   4200480A
              -16              10               2              HB  1.20000               1                   0   4200880A
               -1              11               1              HB  1.20000               1                   0   4200408B
               -2              11               1              HB  1.20000               1                   0   4200410B
               -3              11               1              HB  1.20000               1                   0   4200418B
               -4              11               1              HB  1.20000               1                   0   4200420B
               -5              11               1              HB  1.20000               1                   0   4200428B
               -6              11               1              HB  1.20000               1                   0   4200430B
               -7              11               1              HB  1.20000               1                   0   4200438B
               -8              11               1              HB  1.20000               1                   0   4200440B
               -9              11               1              HB  1.20000               1                   0   4200448B
              -10              11               1              HB  1.20000               1                   0   4200450B
              -11              11               1              HB  1.20000               1                   0   4200458B
              -12              11               1              HB  1.20000               1                   0   4200460B
              -13              11               1              HB  1.20000               1                   0   4200468B
              -14              11               1              HB  1.20000               1                   0   4200470B
              -15              11               1              HB  1.20000               1                   0   4200478B
              -15              11               2              HB  1.20000               1                   0   4200878B
              -16              11               1              HB  1.20000               1                   0   4200480B
              -16              11               2              HB  1.20000               1                   0   4200880B
               -1              12               1              HB  1.20000               1                   0   4200408C
               -2              12               1              HB  1.20000               1                   0   4200410C
               -3              12               1              HB  1.20000               1                   0   4200418C
               -4              12               1              HB  1.20000               1                   0   4200420C
               -5              12               1              HB  1.20000               1                   0   4200428C
               -6              12               1              HB  1.20000               1                   0   4200430C
               -7              12               1              HB  1.20000               1                   0   4200438C
               -8              12               1              HB  1.20000               1                   0   4200440C
               -9              12               1              HB  1.20000               1                   0   4200448C
              -10              12               1              HB  1.20000               1                   0   4200450C
              -11              12               1              HB  1.20000               1                   0   4200458C
              -12              12               1              HB  1.20000               1                   0   4200460C
              -13              12               1              HB  1.20000               1                   0   4200468C
              -14              12               1              HB  1.20000               1                   0   4200470C
              -15              12               1              HB  1.20000               1                   0   4200478C
              -15              12               2              HB  1.20000               1                   0   4200878C
              -16              12               1              HB  1.20000               1                   0   4200480C
              -16              12               2              HB  1.20000               1                   0   4200880C
               -1              13               1              HB  1.20000               1                   0   4200408D
               -2              13               1              HB  1.20000               1                   0   4200410D
               -3              13               1              HB  1.20000               1                   0   4200418D
               -4              13               1              HB  1.20000               1                   0   4200420D
               -5              13               1              HB  1.20000               1                   0   4200428D
               -6              13               1              HB  1.20000               1                   0   4200430D
               -7              13               1              HB  1.20000               1                   0   4200438D
               -8              13               1              HB  1.20000               1                   0   4200440D
               -9              13               1              HB  1.20000               1                   0   4200448D
              -10              13               1              HB  1.20000               1                   0   4200450D
              -11              13               1              HB  1.20000               1                   0   4200458D
              -12              13               1              HB  1.20000               1                   0   4200460D
              -13              13               1              HB  1.20000               1                   0   4200468D
              -14              13               1              HB  1.20000               1                   0   4200470D
              -15              13               1              HB  1.20000               1                   0   4200478D
              -15              13               2              HB  1.20000               1                   0   4200878D
              -16              13               1              HB  1.20000               1                   0   4200480D
              -16              13               2              HB  1.20000               1                   0   4200880D
               -1              14               1              HB  1.20000               1                   0   4200408E
               -2              14               1              HB  1.20000               1                   0   4200410E
               -3              14               1              HB  1.20000               1                   0   4200418E
               -4              14               1              HB  1.20000               1                   0   4200420E
               -5              14               1              HB  1.20000               1                   0   4200428E
               -6              14               1              HB  1.20000               1                   0   4200430E
               -7              14               1              HB  1.20000               1                   0   4200438E
               -8              14               1              HB  1.20000               1                   0   4200440E
               -9              14               1              HB  1.20000               1                   0   4200448E
              -10              14               1              HB  1.20000               1                   0   4200450E
              -11              14               1              HB  1.20000               1                   0   4200458E
              -12              14               1              HB  1.20000               1                   0   4200460E
              -13              14               1              HB  1.20000               1                   0   4200468E
              -14              14               1              HB  1.20000               1                   0   4200470E
              -15              14               1              HB  1.20000               1                   0   4200478E
              -15              14               2              HB  1.20000               1                   0   4200878E
              -16              14               1              HB  1.20000               1                   0   4200480E
              -16              14               2              HB  1.20000               1                   0   4200880E
               -1              15               1              HB  1.20000               1                   0   4200408F
               -2              15               1              HB  1.20000               1                   0   4200410F
               -3              15               1              HB  1.20000               1                   0   4200418F
               -4              15               1              HB  1.20000               1                   0   4200420F
               -5              15               1              HB  1.20000               1                   0   4200428F
               -6              15               1              HB  1.20000               1                   0   4200430F
               -7              15               1              HB  1.20000               1                   0   4200438F
               -8              15               1              HB  1.20000               1                   0   4200440F
               -9              15               1              HB  1.20000               1                   0   4200448F
              -10              15               1              HB  1.20000               1                   0   4200450F
              -11              15               1              HB  1.20000               1                   0   4200458F
              -12              15               1              HB  1.20000               1                   0   4200460F
              -13              15               1              HB  1.20000               1                   0   4200468F
              -14              15               1              HB  1.20000               1                   0   4200470F
              -15              15               1              HB  1.20000               1                   0   4200478F
              -15              15               2              HB  1.20000               1                   0   4200878F
              -16              15               1              HB  1.20000               1                   0   4200480F
              -16              15               2              HB  1.20000               1                   0   4200880F
               -1              16               1              HB  1.20000               1                   0   42004090
               -2              16               1              HB  1.20000               1                   0   42004110
               -3              16               1              HB  1.20000               1                   0   42004190
               -4              16               1              HB  1.20000               1                   0   42004210
               -5              16               1              HB  1.20000               1                   0   42004290
               -6              16               1              HB  1.20000               1                   0   42004310
               -7              16               1              HB  1.20000               1                   0   42004390
               -8              16               1              HB  1.20000               1                   0   42004410
               -9              16               1              HB  1.20000               1                   0   42004490
              -10              16               1              HB  1.20000               1                   0   42004510
              -11              16               1              HB  1.20000               1                   0   42004590
              -12              16               1              HB  1.20000               1                   0   42004610
              -13              16               1              HB  1.20000               1                   0   42004690
              -14              16               1              HB  1.20000               1                   0   42004710
              -15              16               1              HB  1.20000               1                   0   42004790
              -15              16               2              HB  1.20000               1                   0   42008790
              -16              16               1              HB  1.20000               1                   0   42004810
              -16              16               2              HB  1.20000               1                   0   42008810
               -1              17               1              HB  1.20000               1                   0   42004091
               -2              17               1              HB  1.20000               1                   0   42004111
