    15     7
   211  -211   310   321  -321   130   111
   2   1.060   1.098
   3   1.711   1.751
   4   2.297   2.375
   5   3.077   3.048
   6   3.862   3.698
   7   4.527   4.422
   8   5.138   5.197
   9   5.995   5.899
  20  14.655  14.847
  30  22.830  23.334
  50  38.728  39.720
 100  79.838  81.871
 150 120.234 123.314
 200 161.593 165.542
 300 252.125 251.639
    11    10
  2112 -2112  2212 -2212  3112 -3112  3222 -3222  3312 -3312
   2   0.700   0.624
   3   1.239   1.136
   4   1.775   1.736
   5   2.340   2.396
   6   3.027   3.039
   7   3.617   3.671
   8   4.269   4.340
   9   5.204   5.031
  20  12.794  13.414
  30  20.625  21.446
 350 289.601 275.340
