#             eta             phi             dep             det        firstSample    samplesToAdd      DetId
               -1               1               1       CASTOR_EM               4               2         56000001
               -1               1               2       CASTOR_EM               4               2         56000002
               -1               1               3      CASTOR_HAD               4               2         56000003
               -1               1               4      CASTOR_HAD               4               2         56000004
               -1               1               5      CASTOR_HAD               4               2         56000005
               -1               1               6      CASTOR_HAD               4               2         56000006
               -1               1               7      CASTOR_HAD               4               2         56000007
               -1               1               8      CASTOR_HAD               4               2         56000008
               -1               1               9      CASTOR_HAD               4               2         56000009
               -1               1              10      CASTOR_HAD               4               2         5600000A
               -1               1              11      CASTOR_HAD               4               2         5600000B
               -1               1              12      CASTOR_HAD               4               2         5600000C
               -1               1              13      CASTOR_HAD               4               2         5600000D
               -1               1              14      CASTOR_HAD               4               2         5600000E
               -1               2               1       CASTOR_EM               4               2         56000011
               -1               2               2       CASTOR_EM               4               2         56000012
               -1               2               3      CASTOR_HAD               4               2         56000013
               -1               2               4      CASTOR_HAD               4               2         56000014
               -1               2               5      CASTOR_HAD               4               2         56000015
               -1               2               6      CASTOR_HAD               4               2         56000016
               -1               2               7      CASTOR_HAD               4               2         56000017
               -1               2               8      CASTOR_HAD               4               2         56000018
               -1               2               9      CASTOR_HAD               4               2         56000019
               -1               2              10      CASTOR_HAD               4               2         5600001A
               -1               2              11      CASTOR_HAD               4               2         5600001B
               -1               2              12      CASTOR_HAD               4               2         5600001C
               -1               2              13      CASTOR_HAD               4               2         5600001D
               -1               2              14      CASTOR_HAD               4               2         5600001E
               -1               3               1       CASTOR_EM               4               2         56000021
               -1               3               2       CASTOR_EM               4               2         56000022
               -1               3               3      CASTOR_HAD               4               2         56000023
               -1               3               4      CASTOR_HAD               4               2         56000024
               -1               3               5      CASTOR_HAD               4               2         56000025
               -1               3               6      CASTOR_HAD               4               2         56000026
               -1               3               7      CASTOR_HAD               4               2         56000027
               -1               3               8      CASTOR_HAD               4               2         56000028
               -1               3               9      CASTOR_HAD               4               2         56000029
               -1               3              10      CASTOR_HAD               4               2         5600002A
               -1               3              11      CASTOR_HAD               4               2         5600002B
               -1               3              12      CASTOR_HAD               4               2         5600002C
               -1               3              13      CASTOR_HAD               4               2         5600002D
               -1               3              14      CASTOR_HAD               4               2         5600002E
               -1               4               1       CASTOR_EM               4               2         56000031
               -1               4               2       CASTOR_EM               4               2         56000032
               -1               4               3      CASTOR_HAD               4               2         56000033
               -1               4               4      CASTOR_HAD               4               2         56000034
               -1               4               5      CASTOR_HAD               4               2         56000035
               -1               4               6      CASTOR_HAD               4               2         56000036
               -1               4               7      CASTOR_HAD               4               2         56000037
               -1               4               8      CASTOR_HAD               4               2         56000038
               -1               4               9      CASTOR_HAD               4               2         56000039
               -1               4              10      CASTOR_HAD               4               2         5600003A
               -1               4              11      CASTOR_HAD               4               2         5600003B
               -1               4              12      CASTOR_HAD               4               2         5600003C
               -1               4              13      CASTOR_HAD               4               2         5600003D
               -1               4              14      CASTOR_HAD               4               2         5600003E
               -1               5               1       CASTOR_EM               4               2         56000041
               -1               5               2       CASTOR_EM               4               2         56000042
               -1               5               3      CASTOR_HAD               4               2         56000043
               -1               5               4      CASTOR_HAD               4               2         56000044
               -1               5               5      CASTOR_HAD               4               2         56000045
               -1               5               6      CASTOR_HAD               4               2         56000046
               -1               5               7      CASTOR_HAD               4               2         56000047
               -1               5               8      CASTOR_HAD               4               2         56000048
               -1               5               9      CASTOR_HAD               4               2         56000049
               -1               5              10      CASTOR_HAD               4               2         5600004A
               -1               5              11      CASTOR_HAD               4               2         5600004B
               -1               5              12      CASTOR_HAD               4               2         5600004C
               -1               5              13      CASTOR_HAD               4               2         5600004D
               -1               5              14      CASTOR_HAD               4               2         5600004E
               -1               6               1       CASTOR_EM               4               2         56000051
               -1               6               2       CASTOR_EM               4               2         56000052
               -1               6               3      CASTOR_HAD               4               2         56000053
               -1               6               4      CASTOR_HAD               4               2         56000054
               -1               6               5      CASTOR_HAD               4               2         56000055
               -1               6               6      CASTOR_HAD               4               2         56000056
               -1               6               7      CASTOR_HAD               4               2         56000057
               -1               6               8      CASTOR_HAD               4               2         56000058
               -1               6               9      CASTOR_HAD               4               2         56000059
               -1               6              10      CASTOR_HAD               4               2         5600005A
               -1               6              11      CASTOR_HAD               4               2         5600005B
               -1               6              12      CASTOR_HAD               4               2         5600005C
               -1               6              13      CASTOR_HAD               4               2         5600005D
               -1               6              14      CASTOR_HAD               4               2         5600005E
               -1               7               1       CASTOR_EM               4               2         56000061
               -1               7               2       CASTOR_EM               4               2         56000062
               -1               7               3      CASTOR_HAD               4               2         56000063
               -1               7               4      CASTOR_HAD               4               2         56000064
               -1               7               5      CASTOR_HAD               4               2         56000065
               -1               7               6      CASTOR_HAD               4               2         56000066
               -1               7               7      CASTOR_HAD               4               2         56000067
               -1               7               8      CASTOR_HAD               4               2         56000068
               -1               7               9      CASTOR_HAD               4               2         56000069
               -1               7              10      CASTOR_HAD               4               2         5600006A
               -1               7              11      CASTOR_HAD               4               2         5600006B
               -1               7              12      CASTOR_HAD               4               2         5600006C
               -1               7              13      CASTOR_HAD               4               2         5600006D
               -1               7              14      CASTOR_HAD               4               2         5600006E
               -1               8               1       CASTOR_EM               4               2         56000071
               -1               8               2       CASTOR_EM               4               2         56000072
               -1               8               3      CASTOR_HAD               4               2         56000073
               -1               8               4      CASTOR_HAD               4               2         56000074
               -1               8               5      CASTOR_HAD               4               2         56000075
               -1               8               6      CASTOR_HAD               4               2         56000076
               -1               8               7      CASTOR_HAD               4               2         56000077
               -1               8               8      CASTOR_HAD               4               2         56000078
               -1               8               9      CASTOR_HAD               4               2         56000079
               -1               8              10      CASTOR_HAD               4               2         5600007A
               -1               8              11      CASTOR_HAD               4               2         5600007B
               -1               8              12      CASTOR_HAD               4               2         5600007C
               -1               8              13      CASTOR_HAD               4               2         5600007D
               -1               8              14      CASTOR_HAD               4               2         5600007E
               -1               9               1       CASTOR_EM               4               2         56000081
               -1               9               2       CASTOR_EM               4               2         56000082
               -1               9               3      CASTOR_HAD               4               2         56000083
               -1               9               4      CASTOR_HAD               4               2         56000084
               -1               9               5      CASTOR_HAD               4               2         56000085
               -1               9               6      CASTOR_HAD               4               2         56000086
               -1               9               7      CASTOR_HAD               4               2         56000087
               -1               9               8      CASTOR_HAD               4               2         56000088
               -1               9               9      CASTOR_HAD               4               2         56000089
               -1               9              10      CASTOR_HAD               4               2         5600008A
               -1               9              11      CASTOR_HAD               4               2         5600008B
               -1               9              12      CASTOR_HAD               4               2         5600008C
               -1               9              13      CASTOR_HAD               4               2         5600008D
               -1               9              14      CASTOR_HAD               4               2         5600008E
               -1              10               1       CASTOR_EM               4               2         56000091
               -1              10               2       CASTOR_EM               4               2         56000092
               -1              10               3      CASTOR_HAD               4               2         56000093
               -1              10               4      CASTOR_HAD               4               2         56000094
               -1              10               5      CASTOR_HAD               4               2         56000095
               -1              10               6      CASTOR_HAD               4               2         56000096
               -1              10               7      CASTOR_HAD               4               2         56000097
               -1              10               8      CASTOR_HAD               4               2         56000098
               -1              10               9      CASTOR_HAD               4               2         56000099
               -1              10              10      CASTOR_HAD               4               2         5600009A
               -1              10              11      CASTOR_HAD               4               2         5600009B
               -1              10              12      CASTOR_HAD               4               2         5600009C
               -1              10              13      CASTOR_HAD               4               2         5600009D
               -1              10              14      CASTOR_HAD               4               2         5600009E
               -1              11               1       CASTOR_EM               4               2         560000A1
               -1              11               2       CASTOR_EM               4               2         560000A2
               -1              11               3      CASTOR_HAD               4               2         560000A3
               -1              11               4      CASTOR_HAD               4               2         560000A4
               -1              11               5      CASTOR_HAD               4               2         560000A5
               -1              11               6      CASTOR_HAD               4               2         560000A6
               -1              11               7      CASTOR_HAD               4               2         560000A7
               -1              11               8      CASTOR_HAD               4               2         560000A8
               -1              11               9      CASTOR_HAD               4               2         560000A9
               -1              11              10      CASTOR_HAD               4               2         560000AA
               -1              11              11      CASTOR_HAD               4               2         560000AB
               -1              11              12      CASTOR_HAD               4               2         560000AC
               -1              11              13      CASTOR_HAD               4               2         560000AD
               -1              11              14      CASTOR_HAD               4               2         560000AE
               -1              12               1       CASTOR_EM               4               2         560000B1
               -1              12               2       CASTOR_EM               4               2         560000B2
               -1              12               3      CASTOR_HAD               4               2         560000B3
               -1              12               4      CASTOR_HAD               4               2         560000B4
               -1              12               5      CASTOR_HAD               4               2         560000B5
               -1              12               6      CASTOR_HAD               4               2         560000B6
               -1              12               7      CASTOR_HAD               4               2         560000B7
               -1              12               8      CASTOR_HAD               4               2         560000B8
               -1              12               9      CASTOR_HAD               4               2         560000B9
               -1              12              10      CASTOR_HAD               4               2         560000BA
               -1              12              11      CASTOR_HAD               4               2         560000BB
               -1              12              12      CASTOR_HAD               4               2         560000BC
               -1              12              13      CASTOR_HAD               4               2         560000BD
               -1              12              14      CASTOR_HAD               4               2         560000BE
               -1              13               1       CASTOR_EM               4               2         560000C1
               -1              13               2       CASTOR_EM               4               2         560000C2
               -1              13               3      CASTOR_HAD               4               2         560000C3
               -1              13               4      CASTOR_HAD               4               2         560000C4
               -1              13               5      CASTOR_HAD               4               2         560000C5
