#U fC  << this is the unit 
#             eta             phi             dep             det     cap0     cap1     cap2     cap3 widthcap0 widthcap1 widthcap2 widthcap3      DetId
               -1               1               1       CASTOR_EM 12.29600 11.76250 11.83454 11.97681 11.93407 11.90556 11.76504 11.73882   56000001
               -1               1               2       CASTOR_EM  9.59231 11.49109 11.13205 11.26741  8.43112  8.67908  8.49990  8.56200   56000002
               -1               1               3      CASTOR_HAD 10.02118 10.68173 10.92373 10.05645 11.98032 11.84439 11.77139 11.88526   56000003
               -1               1               4      CASTOR_HAD 12.96544 11.95614 12.39658 12.65463 15.75941 15.56492 15.67842 15.63984   56000004
               -1               1               5      CASTOR_HAD 10.58462 10.11009 11.39899 10.90964 10.56523 10.39891 10.41543 10.39024   56000005
               -1               1               6      CASTOR_HAD  8.42554  8.02572  9.07782  8.58846  7.89019  7.93535  7.94784  7.87911   56000006
               -1               1               7      CASTOR_HAD  9.82574 10.23558 10.57750 10.42745 10.14815  9.94904 10.08917 10.07594   56000007
               -1               1               8      CASTOR_HAD 10.49625 10.91603 11.54342 11.62677 10.94336 10.96536 11.00294 10.99120   56000008
               -1               1               9      CASTOR_HAD  9.58826 10.29463 10.64153 10.92542 10.76037 10.76564 10.68950 10.74721   56000009
               -1               1              10      CASTOR_HAD 10.22056 10.12077 10.38216 10.04411  6.90614  6.91149  6.84499  6.79781   5600000A
               -1               1              11      CASTOR_HAD 10.61038 10.31718 10.36394 11.15161  7.56140  7.42463  7.48297  7.61044   5600000B
               -1               1              12      CASTOR_HAD 10.32491 10.44431 10.57088 10.22949  7.39056  7.20557  7.27436  7.26585   5600000C
               -1               1              13      CASTOR_HAD 12.24669 12.94847 12.32674 13.16065  8.62746  8.67504  8.68006  8.94643   5600000D
               -1               1              14      CASTOR_HAD 12.18209 10.50982 10.99738 10.66247  7.28296  7.12880  7.14665  7.20157   5600000E
               -1               2               1       CASTOR_EM 11.39482 11.96979 11.65961 11.81579  8.48334  8.37155  8.31687  8.30881   56000011
               -1               2               2       CASTOR_EM  9.61054  9.59410  9.52641 10.10644  9.27853  9.16867  9.08819  9.27634   56000012
               -1               2               3      CASTOR_HAD 12.01796 10.87675 11.24081 11.75662  7.69377  7.74528  7.64277  7.72850   56000013
               -1               2               4      CASTOR_HAD 10.85101 11.27784 11.32146 11.23611  7.12380  7.21024  7.07623  7.17132   56000014
               -1               2               5      CASTOR_HAD  9.81378 10.09199  9.94180  9.97664  6.80584  6.68231  6.73581  6.61630   56000015
               -1               2               6      CASTOR_HAD 10.07411 10.18170 10.32070 10.41598  7.87487  7.87926  7.77891  7.81053   56000016
               -1               2               7      CASTOR_HAD  9.68049  9.32714  9.81847  9.67675  9.00686  9.04769  8.86827  8.97111   56000017
               -1               2               8      CASTOR_HAD 10.12514 11.14426 11.21244 10.74326  7.21227  7.32268  7.32369  7.19064   56000018
               -1               2               9      CASTOR_HAD 11.57664 10.84549 10.95712 10.68678  7.64584  7.48594  7.53974  7.61431   56000019
               -1               2              10      CASTOR_HAD 10.28780 10.13078 11.34174 11.00852  7.63208  7.52703  7.51574  7.51179   5600001A
               -1               2              11      CASTOR_HAD 10.28966 10.22561 10.71504  9.95838  6.71261  6.67253  6.74109  6.81621   5600001B
               -1               2              12      CASTOR_HAD 11.98122 11.59748 12.40173 11.85921  7.31796  7.38039  7.24519  7.21959   5600001C
               -1               2              13      CASTOR_HAD  9.66002 10.00627  9.35716 10.21723  7.56523  7.52600  7.44806  7.39797   5600001D
               -1               2              14      CASTOR_HAD 10.28162  9.58351 10.03339  9.91491  7.05444  7.22573  7.05946  7.06161   5600001E
               -1               3               1       CASTOR_EM 11.24911 11.15571 11.43047 10.79154  8.38634  8.31263  8.32852  8.18507   56000021
               -1               3               2       CASTOR_EM 10.24582 11.41052 11.12410 11.15137  8.83670  8.68042  8.70742  8.75659   56000022
               -1               3               3      CASTOR_HAD  9.51208 10.03767  9.41498  9.77572  9.45341  9.28483  9.37861  9.26186   56000023
               -1               3               4      CASTOR_HAD 10.37093 10.46795 10.73624 11.72452  7.18923  7.12231  7.07066  7.14899   56000024
               -1               3               5      CASTOR_HAD 10.93460  9.91382 10.51861 10.34632  8.34302  8.16301  8.22263  8.26737   56000025
               -1               3               6      CASTOR_HAD 10.30767 10.46874 10.15708 10.22525 11.86508 11.98674 12.00103 11.98283   56000026
               -1               3               7      CASTOR_HAD  9.89511 10.34340 10.49782 10.28095  7.49512  7.50742  7.54097  7.43501   56000027
               -1               3               8      CASTOR_HAD 11.56442 11.84615 12.15571 12.29103 108.59643 108.12666 108.89158 111.35027   56000028
               -1               3               9      CASTOR_HAD 10.64407 11.16597 11.00454 11.57611  7.24044  7.19170  7.22302  7.22335   56000029
               -1               3              10      CASTOR_HAD 10.70673 10.90080 11.19368 11.75712  6.79287  6.79690  6.75443  6.72769   5600002A
               -1               3              11      CASTOR_HAD 12.64124 12.45403 12.79978 12.54394  7.68314  7.49267  7.44070  7.57684   5600002B
               -1               3              12      CASTOR_HAD 13.58275  9.02016 11.38253 11.07157  7.12800  6.88721  6.93377  6.93456   5600002C
               -1               3              13      CASTOR_HAD 12.23507 10.96795 11.64828 11.19733  6.36676  6.23973  6.37453  6.35119   5600002D
               -1               3              14      CASTOR_HAD 10.36875 10.04701 10.60778 11.22015  6.33326  6.30643  6.34851  6.38092   5600002E
               -1               4               1       CASTOR_EM 11.70290 11.62786 11.59097 11.48943  7.93338  7.93727  8.04525  8.03258   56000031
               -1               4               2       CASTOR_EM 11.36806 10.91711 11.22363 10.84387 10.14536 10.16130 10.15244 10.03294   56000032
               -1               4               3      CASTOR_HAD 11.07129 10.09942 10.06267 11.16474 11.75983 11.79161 11.57842 11.71833   56000033
               -1               4               4      CASTOR_HAD 11.45078 10.86038 11.49358 12.19604  8.58681  8.33929  8.42147  8.69209   56000034
               -1               4               5      CASTOR_HAD  9.86586 10.83216 11.42968 10.98113  7.76343  7.67816  7.71162  7.70503   56000035
               -1               4               6      CASTOR_HAD 10.54127 10.47822 10.98332  9.91069  7.13456  7.02925  7.11603  6.95505   56000036
               -1               4               7      CASTOR_HAD 10.62379 10.90199 10.30098 11.76969  7.99437  7.73305  7.77015  7.89398   56000037
               -1               4               8      CASTOR_HAD  9.51066 10.18034  9.98690  9.92032  9.23248  9.08640  9.11570  9.24042   56000038
               -1               4               9      CASTOR_HAD 12.11132 12.82909 12.90243 12.06011  7.14615  6.97568  6.97849  6.94544   56000039
               -1               4              10      CASTOR_HAD 12.93395 12.58928 12.82921 12.57834  7.90689  7.66018  7.68481  7.71992   5600003A
               -1               4              11      CASTOR_HAD 10.47981 10.46917 11.18166 10.46927  6.66990  6.56198  6.56388  6.61574   5600003B
               -1               4              12      CASTOR_HAD 10.45076 10.61466 10.65466 10.19812  7.15970  7.03817  6.96489  7.01537   5600003C
               -1               4              13      CASTOR_HAD 12.51809 12.13386 13.43943 12.28068  6.85140  6.85989  6.84686  6.76012   5600003D
               -1               4              14      CASTOR_HAD  9.96734 10.21878 10.98604 10.32774  6.85560  6.82849  6.68026  6.55801   5600003E
               -1               5               1       CASTOR_EM 10.59432 10.71991 11.28417 10.88550  9.13708  8.94175  8.94860  9.06964   56000041
               -1               5               2       CASTOR_EM 10.07097  9.83597 10.31273 10.11187  9.05322  8.96822  8.97875  9.06496   56000042
               -1               5               3      CASTOR_HAD 11.33003 11.00968 11.53031 11.59679  8.69315  8.75062  8.62601  8.85460   56000043
               -1               5               4      CASTOR_HAD 11.03320 10.76103 10.94091 10.81501  7.59110  7.62011  7.50174  7.57315   56000044
               -1               5               5      CASTOR_HAD  9.85750 10.25571 11.63921  9.37811  8.90914  8.90794  8.76913  8.74122   56000045
               -1               5               6      CASTOR_HAD 10.34992 10.26264  9.52425 10.72031  9.23344  9.06758  9.12998  8.89363   56000046
               -1               5               7      CASTOR_HAD  9.96177 10.19992 11.19745 10.45391  7.57195  7.58286  7.40539  7.58650   56000047
               -1               5               8      CASTOR_HAD 10.44815 10.25845 10.21508 10.00488  7.90717  7.85218  7.86222  7.78319   56000048
               -1               5               9      CASTOR_HAD  9.68129 11.06246 11.02519 11.34755  7.74113  7.75395  7.53832  7.55492   56000049
               -1               5              10      CASTOR_HAD  9.79579 10.04208 10.32529 10.36650  7.54105  7.32057  7.37412  7.38897   5600004A
               -1               5              11      CASTOR_HAD 11.75873 11.40808 11.27108 11.45332  8.68743  8.57688  8.64760  8.69430   5600004B
               -1               5              12      CASTOR_HAD 11.32364 11.74243 11.52899 12.45619  7.72143  7.57819  7.49499  7.47932   5600004C
               -1               5              13      CASTOR_HAD 10.39889 10.78176 10.32163 11.04654  7.88701  7.78992  7.54805  7.83054   5600004D
               -1               5              14      CASTOR_HAD 10.88219 11.18326 10.57898 10.40640  8.82145  8.85871  8.62084  8.83162   5600004E
               -1               6               1       CASTOR_EM 11.59254 10.71666 11.30418 11.42577  7.73995  7.91699  7.93614  7.89183   56000051
               -1               6               2       CASTOR_EM 11.20257 10.87117 11.22619 11.37898 10.35964 10.45731 10.34563 10.31530   56000052
               -1               6               3      CASTOR_HAD 10.73086 10.81538 10.71650 10.72936 11.17921 11.18107 11.15075 11.04019   56000053
               -1               6               4      CASTOR_HAD 13.44382 13.13987 13.52015 12.87084  6.57799  6.53220  6.56039  6.63689   56000054
               -1               6               5      CASTOR_HAD 11.52750 10.83040 11.35753 10.94346  9.22237  9.17300  9.38441  8.93973   56000055
               -1               6               6      CASTOR_HAD 11.13673 12.29893 11.55060 10.45063  8.56990  8.56003  8.40430  8.60801   56000056
               -1               6               7      CASTOR_HAD 10.33727 10.68721 11.20704 10.44769  9.01723  8.97876  9.03819  8.71201   56000057
               -1               6               8      CASTOR_HAD 11.22012 10.63842 11.02737 10.20818  7.68096  7.56313  7.57554  7.33423   56000058
               -1               6               9      CASTOR_HAD  9.71275 11.30077 11.30188 12.22218  7.14992  7.16412  7.19206  7.19162   56000059
               -1               6              10      CASTOR_HAD  8.94630 10.81427 12.74869 12.12113  7.64509  7.55201  7.73723  7.76318   5600005A
               -1               6              11      CASTOR_HAD  9.57301 10.22783 10.23722  9.68013  6.77012  6.69248  6.63285  6.56841   5600005B
               -1               6              12      CASTOR_HAD 10.10320 10.55404 11.02438 11.45508  7.61196  7.45912  7.40437  7.47997   5600005C
               -1               6              13      CASTOR_HAD 10.31885  9.81940 11.16409 11.53997  6.99415  6.99948  7.01983  6.93902   5600005D
               -1               6              14      CASTOR_HAD 10.31790 10.81094  9.60139  9.94016  7.80605  7.79802  7.64580  7.90962   5600005E
               -1               7               1       CASTOR_EM 10.42802 10.14260 10.11645 10.03028  7.56034  7.46802  7.30302  7.30944   56000061
               -1               7               2       CASTOR_EM 11.45304 12.71479 12.30258 12.44565 19.69695 19.54109 19.40703 19.53728   56000062
               -1               7               3      CASTOR_HAD 10.51550 11.05001 11.29254 10.75692  8.20314  8.16889  8.21446  8.15637   56000063
               -1               7               4      CASTOR_HAD 11.84804 11.14477 11.77755 11.73582  7.76265  7.61908  7.61550  7.68501   56000064
               -1               7               5      CASTOR_HAD  9.59125  9.36995  8.95518  9.81389  7.19077  7.11069  7.12333  7.11115   56000065
               -1               7               6      CASTOR_HAD 10.28690 10.61413 11.02278 10.98294  6.67967  6.72365  6.51045  6.52772   56000066
               -1               7               7      CASTOR_HAD  9.83397  9.46179  9.92910  9.66867  7.90125  7.81022  7.67885  7.74307   56000067
               -1               7               8      CASTOR_HAD 10.63029 10.61272 11.18612 11.89849  6.55255  6.42686  6.42304  6.40614   56000068
               -1               7               9      CASTOR_HAD 11.55245 11.83356 12.56684 11.59599  7.13468  7.10197  7.01124  6.99577   56000069
               -1               7              10      CASTOR_HAD 10.32321 10.29916 10.11754 10.78137  7.77280  7.62998  7.53179  7.51467   5600006A
               -1               7              11      CASTOR_HAD 12.05278  9.79649 10.88067 11.03195  6.98750  6.79198  6.70294  7.03147   5600006B
               -1               7              12      CASTOR_HAD 10.37907  9.75187 11.99993 10.60952  7.51193  7.39281  7.54475  7.48384   5600006C
               -1               7              13      CASTOR_HAD 11.40707 10.94815 11.16622 10.64422 15.09295 15.03209 15.01800 14.96380   5600006D
               -1               7              14      CASTOR_HAD 10.27678 10.26628 10.47916 10.84714  9.19665  9.19693  8.95667  9.26219   5600006E
