SiPMtype		ROC		HalfROC		index		seq		iring		iphi		Trig.-Out		TC		t		
TM-A5A6		0		1		41		5		0		0		3		1		1
TM-A5A6		0		1		43		7		0		1		3		1		1
TM-A5A6		0		1		37		1		0		2		3		0		1
TM-A5A6		0		1		39		3		0		3		3		0		1
TM-A5A6		0		1		50		14		0		4		3		3		1
TM-A5A6		0		1		52		16		0		5		3		3		1
TM-A5A6		0		1		46		10		0		6		3		2		1
TM-A5A6		0		1		48		12		0		7		3		2		1
TM-A5A6		0		1		40		4		1		0		3		1		1
TM-A5A6		0		1		42		6		1		1		3		1		1
TM-A5A6		0		1		36		0		1		2		3		0		1
TM-A5A6		0		1		38		2		1		3		3		0		1
TM-A5A6		0		1		49		13		1		4		3		3		1
TM-A5A6		0		1		51		15		1		5		3		3		1
TM-A5A6		0		1		44		8		-1		-1		-1		-1		-1
TM-A5A6		0		1		45		9		1		6		3		2		1
TM-A5A6		0		1		47		11		1		7		3		2		1
TM-A5A6		0		0		20		20		2		0		2		0		1
TM-A5A6		0		0		22		22		2		1		2		0		1
TM-A5A6		0		0		33		33		2		2		2		3		1
TM-A5A6		0		0		35		35		2		3		2		3		1
TM-A5A6		0		0		29		29		2		4		2		2		1
TM-A5A6		0		0		31		31		2		5		2		2		1
TM-A5A6		0		0		24		24		2		6		2		1		1
TM-A5A6		0		0		26		26		2		7		2		1		1
TM-A5A6		0		0		17		17		-1		-1		-1		-1		-1
TM-A5A6		0		0		18		18		-1		-1		-1		-1		-1
TM-A5A6		0		0		19		19		3		0		2		0		1
TM-A5A6		0		0		21		21		3		1		2		0		1
TM-A5A6		0		0		32		32		3		2		2		3		1
TM-A5A6		0		0		34		34		3		3		2		3		1
TM-A5A6		0		0		27		27		-1		-1		-1		-1		-1
TM-A5A6		0		0		28		28		3		4		2		2		1
TM-A5A6		0		0		30		30		3		5		2		2		1
TM-A5A6		0		0		23		23		3		6		2		1		1
TM-A5A6		0		0		25		25		3		7		2		1		1
TM-A5A6		0		0		14		14		4		0		1		3		1
TM-A5A6		0		0		16		16		4		1		1		3		1
TM-A5A6		0		0		10		10		4		2		1		2		1
TM-A5A6		0		0		12		12		4		3		1		2		1
TM-A5A6		0		0		1		1		4		4		1		0		1
TM-A5A6		0		0		3		3		4		5		1		0		1
TM-A5A6		0		0		5		5		4		6		1		1		1
TM-A5A6		0		0		7		7		4		7		1		1		1
TM-A5A6		0		0		8		8		-1		-1		-1		-1		-1
TM-A5A6		0		0		13		13		5		0		1		3		1
TM-A5A6		0		0		15		15		5		1		1		3		1
TM-A5A6		0		0		9		9		5		2		1		2		1
TM-A5A6		0		0		11		11		5		3		1		2		1
TM-A5A6		0		0		0		0		5		4		1		0		1
TM-A5A6		0		0		2		2		5		5		1		0		1
TM-A5A6		0		0		4		4		5		6		1		1		1
TM-A5A6		0		0		6		6		5		7		1		1		1
TM-B11B12		1		0		92		20		6		0		6		0		1
TM-B11B12		1		0		94		22		6		1		6		0		1
TM-B11B12		1		0		105		33		6		2		6		3		1
TM-B11B12		1		0		107		35		6		3		6		3		1
TM-B11B12		1		0		101		29		6		4		6		2		1
TM-B11B12		1		0		103		31		6		5		6		2		1
TM-B11B12		1		0		96		24		6		6		6		1		1
TM-B11B12		1		0		98		26		6		7		6		1		1
TM-B11B12		1		0		89		17		-1		-1		-1		-1		-1
TM-B11B12		1		0		90		18		-1		-1		-1		-1		-1
