1 0 0.00 0.00 0.00 0.00 0.00 0.00
2 1 0.00 0.00 0.00 0.00 0.00 0.00
3 0 0.00 0.00 0.00 0.00 0.00 0.00
4 1 0.00 0.00 0.00 0.00 0.00 0.00
5 0 0.00 0.00 0.00 0.00 0.00 0.00
6 1 0.00 0.00 0.00 0.00 0.00 0.00
7 0 0.00 0.00 0.00 0.00 0.00 0.00
8 1 0.00 0.00 0.00 0.00 0.00 0.00
9 0 0.00 0.00 0.00 0.00 0.00 0.00
10 1 0.00 0.00 0.00 0.00 0.00 0.00
1 3 h120   -0.00  290.02 2 1 2 1
1 0 h120  -83.72  435.02 4 1 3 1
1 0 h120 -167.44  580.03 4 1 4 1
1 0 h120 -251.16  725.04 4 1 5 1
1 0 l300 -334.88  870.05 1 1 6 1
1 0 l300 -418.61 1015.05 1 1 7 1
1 0 l300 -502.33 1160.06 1 1 8 1
1 5 l300 -586.04 1305.07 0 1 9 1
1 2 h120  167.44  290.01 0 2 2 1
1 0 h120   83.72  435.02 4 2 3 1
1 0 h120   -0.01  580.03 4 2 4 1
1 0 h120  -83.72  725.04 4 2 5 1
1 0 l200 -167.44  870.04 1 2 6 1
1 0 l300 -251.16 1015.05 1 2 7 1
1 0 l300 -334.88 1160.06 1 2 8 1
1 0 l300 -418.61 1305.07 1 2 9 1
1 6 l300 -502.32 1450.07 2 2 10 1
1 0 h120  251.16  435.02 3 3 3 1
1 0 h120  167.44  580.03 3 3 4 1
1 0 h120   83.72  725.04 3 3 5 1
1 0 l200    0.00  870.04 1 3 6 1
1 0 l300  -83.72 1015.05 1 3 7 1
1 0 l300 -167.44 1160.06 1 3 8 1
1 0 l300 -251.16 1305.07 1 3 9 1
1 1 l300 -334.88 1450.09 1 3 10 1
1 0 h120  334.88  580.03 3 4 4 1
1 0 h120  251.16  725.04 3 4 5 1
1 0 l200  167.44  870.05 3 4 6 1
1 0 l300   83.72 1015.05 3 4 7 1
1 0 l300   -0.00 1160.06 3 4 8 1
1 0 l300  -83.72 1305.08 1 4 9 1
1 5 l300 -167.44 1450.09 5 4 10 1
1 0 l200  418.60  725.04 3 5 5 1
1 0 l300  334.88  870.04 3 5 6 1
1 0 l300  251.16 1015.05 3 5 7 1
1 0 l300  167.45 1160.07 3 5 8 1
1 0 l300   83.72 1305.08 3 5 9 1
1 3 l300    0.00 1450.08 5 5 10 1
1 0 l300  502.32  870.04 3 6 6 1
1 0 l300  418.60 1015.06 3 6 7 1
1 0 l300  334.88 1160.07 3 6 8 1
1 0 l300  251.17 1305.07 3 6 9 1
1 5 l300  167.44 1450.08 5 6 10 1
1 0 l300  586.04 1015.06 3 7 7 1
1 0 l300  502.32 1160.07 3 7 8 1
1 0 l300  418.60 1305.08 3 7 9 1
1 1 l300  334.89 1450.08 0 7 10 1
1 0 l300  669.76 1160.07 3 8 8 1
1 0 l300  586.04 1305.08 3 8 9 1
1 6 l300  502.32 1450.08 2 8 10 1
1 6 l300  753.49 1305.07 1 9 9 1
2 3 h120   -0.00  290.02 2 1 2 1
2 0 h120  -83.72  435.02 0 1 3 1
2 0 h120 -167.44  580.03 0 1 4 1
2 0 h120 -251.16  725.04 0 1 5 1
2 0 l300 -334.88  870.05 3 1 6 1
2 0 l300 -418.61 1015.05 3 1 7 1
2 0 l300 -502.33 1160.06 3 1 8 1
2 1 l300 -586.04 1305.07 0 1 9 1
2 2 h120  167.44  290.01 1 2 2 1
2 0 h120   83.72  435.02 0 2 3 1
2 0 h120   -0.01  580.03 0 2 4 1
2 0 h120  -83.72  725.04 0 2 5 1
2 0 l200 -167.44  870.04 3 2 6 1
2 0 l300 -251.16 1015.05 3 2 7 1
2 0 l300 -334.88 1160.06 3 2 8 1
2 0 l300 -418.61 1305.07 3 2 9 1
2 0 h120  251.16  435.02 1 3 3 1
2 0 h120  167.44  580.03 1 3 4 1
2 0 h120   83.72  725.04 1 3 5 1
2 0 l200    0.00  870.04 3 3 6 1
2 0 l300  -83.72 1015.05 3 3 7 1
2 0 l300 -167.44 1160.06 3 3 8 1
2 0 l300 -251.16 1305.07 3 3 9 1
2 0 h120  334.88  580.03 1 4 4 1
2 0 h120  251.16  725.04 1 4 5 1
2 0 l200  167.44  870.05 1 4 6 1
2 0 l300   83.72 1015.05 1 4 7 1
2 0 l300   -0.00 1160.06 3 4 8 1
2 0 l300  -83.72 1305.08 3 4 9 1
2 6 l300 -167.44 1450.09 2 4 10 1
2 0 l200  418.60  725.04 1 5 5 1
2 0 l300  334.88  870.04 1 5 6 1
2 0 l300  251.16 1015.05 1 5 7 1
2 0 l300  167.45 1160.07 1 5 8 1
2 0 l300   83.72 1305.08 3 5 9 1
2 6 l300    0.00 1450.08 2 5 10 1
2 0 l300  502.32  870.04 1 6 6 1
2 0 l300  418.60 1015.06 1 6 7 1
2 0 l300  334.88 1160.07 1 6 8 1
2 0 l300  251.17 1305.07 1 6 9 1
2 6 l300  167.44 1450.08 2 6 10 1
2 0 l300  586.04 1015.06 1 7 7 1
2 0 l300  502.32 1160.07 1 7 8 1
2 0 l300  418.60 1305.08 1 7 9 1
2 0 l300  669.76 1160.07 1 8 8 1
2 1 l300  586.04 1305.08 1 8 9 1
3 3 h120   -0.00  290.02 2 1 2 1
3 0 h120  -83.72  435.02 4 1 3 1
3 0 h120 -167.44  580.03 4 1 4 1
3 0 h120 -251.16  725.04 4 1 5 1
3 0 l200 -334.88  870.05 1 1 6 1
3 0 l300 -418.61 1015.05 1 1 7 1
3 0 l300 -502.33 1160.06 1 1 8 1
3 5 l300 -586.04 1305.07 0 1 9 1
3 2 h120  167.44  290.01 0 2 2 1
3 0 h120   83.72  435.02 4 2 3 1
3 0 h120   -0.01  580.03 4 2 4 1
3 0 h120  -83.72  725.04 4 2 5 1
3 0 l200 -167.44  870.04 1 2 6 1
3 0 l300 -251.16 1015.05 1 2 7 1
3 0 l300 -334.88 1160.06 1 2 8 1
3 0 l300 -418.61 1305.07 1 2 9 1
3 6 l300 -502.32 1450.07 2 2 10 1
3 0 h120  251.16  435.02 3 3 3 1
3 0 h120  167.44  580.03 3 3 4 1
3 0 h120   83.72  725.04 3 3 5 1
3 0 l200    0.00  870.04 1 3 6 1
3 0 l300  -83.72 1015.05 1 3 7 1
3 0 l300 -167.44 1160.06 1 3 8 1
3 0 l300 -251.16 1305.07 1 3 9 1
3 1 l300 -334.88 1450.09 1 3 10 1
3 0 h120  334.88  580.03 3 4 4 1
3 0 h120  251.16  725.04 3 4 5 1
3 0 l200  167.44  870.05 3 4 6 1
3 0 l300   83.72 1015.05 3 4 7 1
3 0 l300   -0.00 1160.06 3 4 8 1
3 0 l300  -83.72 1305.08 1 4 9 1
3 5 l300 -167.44 1450.09 5 4 10 1
3 0 l200  418.60  725.04 3 5 5 1
3 0 l200  334.88  870.04 3 5 6 1
3 0 l300  251.16 1015.05 3 5 7 1
3 0 l300  167.45 1160.07 3 5 8 1
3 0 l300   83.72 1305.08 3 5 9 1
3 3 l300    0.00 1450.08 5 5 10 1
3 0 l300  502.32  870.04 3 6 6 1
3 0 l300  418.60 1015.06 3 6 7 1
3 0 l300  334.88 1160.07 3 6 8 1
3 0 l300  251.17 1305.07 3 6 9 1
3 5 l300  167.44 1450.08 5 6 10 1
3 0 l300  586.04 1015.06 3 7 7 1
3 0 l300  502.32 1160.07 3 7 8 1
3 0 l300  418.60 1305.08 3 7 9 1
3 1 l300  334.89 1450.08 0 7 10 1
3 0 l300  669.76 1160.07 3 8 8 1
3 0 l300  586.04 1305.08 3 8 9 1
3 6 l300  502.32 1450.08 2 8 10 1
3 6 l300  753.49 1305.07 1 9 9 1
4 3 h120   -0.00  290.02 2 1 2 1
4 0 h120  -83.72  435.02 0 1 3 1
4 0 h120 -167.44  580.03 0 1 4 1
4 0 h120 -251.16  725.04 0 1 5 1
4 0 l200 -334.88  870.05 3 1 6 1
4 0 l300 -418.61 1015.05 3 1 7 1
4 0 l300 -502.33 1160.06 3 1 8 1
4 1 l300 -586.04 1305.07 0 1 9 1
4 2 h120  167.44  290.01 1 2 2 1
4 0 h120   83.72  435.02 0 2 3 1
4 0 h120   -0.01  580.03 0 2 4 1
4 0 h120  -83.72  725.04 0 2 5 1
4 0 l200 -167.44  870.04 3 2 6 1
4 0 l300 -251.16 1015.05 3 2 7 1
4 0 l300 -334.88 1160.06 3 2 8 1
4 0 l300 -418.61 1305.07 3 2 9 1
4 0 h120  251.16  435.02 1 3 3 1
4 0 h120  167.44  580.03 1 3 4 1
4 0 h120   83.72  725.04 1 3 5 1
4 0 l200    0.00  870.04 3 3 6 1
4 0 l300  -83.72 1015.05 3 3 7 1
4 0 l300 -167.44 1160.06 3 3 8 1
4 0 l300 -251.16 1305.07 3 3 9 1
4 0 h120  334.88  580.03 1 4 4 1
4 0 h120  251.16  725.04 1 4 5 1
4 0 l200  167.44  870.05 1 4 6 1
4 0 l300   83.72 1015.05 1 4 7 1
4 0 l300   -0.00 1160.06 3 4 8 1
4 0 l300  -83.72 1305.08 3 4 9 1
4 6 l300 -167.44 1450.09 2 4 10 1
4 0 l200  418.60  725.04 1 5 5 1
4 0 l200  334.88  870.04 1 5 6 1
4 0 l300  251.16 1015.05 1 5 7 1
4 0 l300  167.45 1160.07 1 5 8 1
4 0 l300   83.72 1305.08 3 5 9 1
4 6 l300    0.00 1450.08 2 5 10 1
4 0 l300  502.32  870.04 1 6 6 1
4 0 l300  418.60 1015.06 1 6 7 1
4 0 l300  334.88 1160.07 1 6 8 1
4 0 l300  251.17 1305.07 1 6 9 1
4 6 l300  167.44 1450.08 2 6 10 1
4 0 l300  586.04 1015.06 1 7 7 1
4 0 l300  502.32 1160.07 1 7 8 1
4 0 l300  418.60 1305.08 1 7 9 1
4 0 l300  669.76 1160.07 1 8 8 1
4 1 l300  586.04 1305.08 1 8 9 1
5 3 h120   -0.00  290.02 2 1 2 1
5 0 h120  -83.72  435.02 4 1 3 1
5 0 h120 -167.44  580.03 4 1 4 1
5 0 h120 -251.16  725.04 4 1 5 1
5 0 l200 -334.88  870.05 1 1 6 1
5 0 l300 -418.61 1015.05 1 1 7 1
5 0 l300 -502.33 1160.06 1 1 8 1
5 5 l300 -586.04 1305.07 0 1 9 1
5 2 h120  167.44  290.01 0 2 2 1
5 0 h120   83.72  435.02 4 2 3 1
5 0 h120   -0.01  580.03 4 2 4 1
5 0 h120  -83.72  725.04 4 2 5 1
5 0 l200 -167.44  870.04 1 2 6 1
5 0 l300 -251.16 1015.05 1 2 7 1
5 0 l300 -334.88 1160.06 1 2 8 1
5 0 l300 -418.61 1305.07 1 2 9 1
5 6 l300 -502.32 1450.07 2 2 10 1
5 0 h120  251.16  435.02 3 3 3 1
5 0 h120  167.44  580.03 3 3 4 1
5 0 h120   83.72  725.04 3 3 5 1
5 0 l200    0.00  870.04 1 3 6 1
5 0 l300  -83.72 1015.05 1 3 7 1
5 0 l300 -167.44 1160.06 1 3 8 1
5 0 l300 -251.16 1305.07 1 3 9 1
5 1 l300 -334.88 1450.09 1 3 10 1
5 0 h120  334.88  580.03 3 4 4 1
5 0 h120  251.16  725.04 3 4 5 1
5 0 l200  167.44  870.05 3 4 6 1
5 0 l300   83.72 1015.05 3 4 7 1
5 0 l300   -0.00 1160.06 3 4 8 1
5 0 l300  -83.72 1305.08 1 4 9 1
5 5 l300 -167.44 1450.09 5 4 10 1
5 0 l200  418.60  725.04 3 5 5 1
5 0 l200  334.88  870.04 3 5 6 1
5 0 l300  251.16 1015.05 3 5 7 1
5 0 l300  167.45 1160.07 3 5 8 1
5 0 l300   83.72 1305.08 3 5 9 1
5 3 l300    0.00 1450.08 5 5 10 1
5 0 l300  502.32  870.04 3 6 6 1
5 0 l300  418.60 1015.06 3 6 7 1
5 0 l300  334.88 1160.07 3 6 8 1
5 0 l300  251.17 1305.07 3 6 9 1
5 5 l300  167.44 1450.08 5 6 10 1
5 0 l300  586.04 1015.06 3 7 7 1
5 0 l300  502.32 1160.07 3 7 8 1
5 0 l300  418.60 1305.08 3 7 9 1
5 1 l300  334.89 1450.08 0 7 10 1
5 0 l300  669.76 1160.07 3 8 8 1
5 0 l300  586.04 1305.08 3 8 9 1
5 6 l300  502.32 1450.08 2 8 10 1
5 6 l300  753.49 1305.07 1 9 9 1
6 3 h120   -0.00  290.02 2 1 2 1
6 0 h120  -83.72  435.02 0 1 3 1
6 0 h120 -167.44  580.03 0 1 4 1
6 0 h120 -251.16  725.04 0 1 5 1
6 0 l200 -334.88  870.05 3 1 6 1
6 0 l300 -418.61 1015.05 3 1 7 1
6 0 l300 -502.33 1160.06 3 1 8 1
6 1 l300 -586.04 1305.07 0 1 9 1
6 2 h120  167.44  290.01 1 2 2 1
6 0 h120   83.72  435.02 0 2 3 1
6 0 h120   -0.01  580.03 0 2 4 1
6 0 h120  -83.72  725.04 0 2 5 1
6 0 l200 -167.44  870.04 3 2 6 1
6 0 l300 -251.16 1015.05 3 2 7 1
6 0 l300 -334.88 1160.06 3 2 8 1
6 0 l300 -418.61 1305.07 3 2 9 1
6 0 h120  251.16  435.02 1 3 3 1
6 0 h120  167.44  580.03 1 3 4 1
6 0 h120   83.72  725.04 1 3 5 1
6 0 l200    0.00  870.04 3 3 6 1
6 0 l300  -83.72 1015.05 3 3 7 1
6 0 l300 -167.44 1160.06 3 3 8 1
6 0 l300 -251.16 1305.07 3 3 9 1
6 6 l300 -334.88 1450.09 2 3 10 1
6 0 h120  334.88  580.03 1 4 4 1
6 0 h120  251.16  725.04 1 4 5 1
6 0 l200  167.44  870.05 1 4 6 1
6 0 l300   83.72 1015.05 1 4 7 1
6 0 l300   -0.00 1160.06 1 4 8 1
6 0 l300  -83.72 1305.08 3 4 9 1
6 3 l300 -167.44 1450.09 5 4 10 1
6 0 l200  418.60  725.04 1 5 5 1
6 0 l200  334.88  870.04 1 5 6 1
6 0 l300  251.16 1015.05 1 5 7 1
6 0 l300  167.45 1160.07 1 5 8 1
6 0 l300   83.72 1305.08 1 5 9 1
6 3 l300    0.00 1450.08 5 5 10 1
6 0 l300  502.32  870.04 1 6 6 1
6 0 l300  418.60 1015.06 1 6 7 1
6 0 l300  334.88 1160.07 1 6 8 1
6 0 l300  251.17 1305.07 1 6 9 1
6 3 l300  167.44 1450.08 5 6 10 1
6 0 l300  586.04 1015.06 1 7 7 1
6 0 l300  502.32 1160.07 1 7 8 1
6 0 l300  418.60 1305.08 1 7 9 1
6 6 l300  334.89 1450.08 2 7 10 1
6 0 l300  669.76 1160.07 1 8 8 1
6 1 l300  586.04 1305.08 1 8 9 1
7 3 h120   -0.00  290.02 2 1 2 1
7 0 h120  -83.72  435.02 4 1 3 1
7 0 h120 -167.44  580.03 4 1 4 1
7 0 h120 -251.16  725.04 4 1 5 1
7 0 l200 -334.88  870.05 1 1 6 1
7 0 l300 -418.61 1015.05 1 1 7 1
7 0 l300 -502.33 1160.06 1 1 8 1
7 5 l300 -586.04 1305.07 0 1 9 1
7 2 h120  167.44  290.01 0 2 2 1
7 0 h120   83.72  435.02 4 2 3 1
7 0 h120   -0.01  580.03 4 2 4 1
7 0 h120  -83.72  725.04 4 2 5 1
7 0 l200 -167.44  870.04 1 2 6 1
7 0 l300 -251.16 1015.05 1 2 7 1
7 0 l300 -334.88 1160.06 1 2 8 1
7 0 l300 -418.61 1305.07 1 2 9 1
7 6 l300 -502.32 1450.07 2 2 10 1
7 0 h120  251.16  435.02 3 3 3 1
7 0 h120  167.44  580.03 3 3 4 1
7 0 h120   83.72  725.04 3 3 5 1
7 0 l200    0.00  870.04 1 3 6 1
7 0 l200  -83.72 1015.05 1 3 7 1
7 0 l300 -167.44 1160.06 1 3 8 1
7 0 l300 -251.16 1305.07 1 3 9 1
7 1 l300 -334.88 1450.09 1 3 10 1
7 0 h120  334.88  580.03 3 4 4 1
7 0 h120  251.16  725.04 3 4 5 1
7 0 l200  167.44  870.05 3 4 6 1
7 0 l200   83.72 1015.05 3 4 7 1
7 0 l300   -0.00 1160.06 3 4 8 1
7 0 l300  -83.72 1305.08 1 4 9 1
7 5 l300 -167.44 1450.09 5 4 10 1
7 0 l200  418.60  725.04 3 5 5 1
7 0 l200  334.88  870.04 3 5 6 1
7 0 l300  251.16 1015.05 3 5 7 1
7 0 l300  167.45 1160.07 3 5 8 1
7 0 l300   83.72 1305.08 3 5 9 1
7 3 l300    0.00 1450.08 5 5 10 1
7 0 l200  502.32  870.04 3 6 6 1
7 0 l300  418.60 1015.06 3 6 7 1
7 0 l300  334.88 1160.07 3 6 8 1
7 0 l300  251.17 1305.07 3 6 9 1
7 5 l300  167.44 1450.08 5 6 10 1
7 0 l300  586.04 1015.06 3 7 7 1
7 0 l300  502.32 1160.07 3 7 8 1
7 0 l300  418.60 1305.08 3 7 9 1
7 1 l300  334.89 1450.08 0 7 10 1
7 0 l300  669.76 1160.07 3 8 8 1
7 0 l300  586.04 1305.08 3 8 9 1
7 6 l300  502.32 1450.08 2 8 10 1
7 6 l300  753.49 1305.07 1 9 9 1
8 3 h120   -0.00  290.02 2 1 2 1
8 0 h120  -83.72  435.02 0 1 3 1
8 0 h120 -167.44  580.03 0 1 4 1
8 0 h120 -251.16  725.04 0 1 5 1
8 0 l200 -334.88  870.05 3 1 6 1
8 0 l300 -418.61 1015.05 3 1 7 1
8 0 l300 -502.33 1160.06 3 1 8 1
8 1 l300 -586.04 1305.07 0 1 9 1
8 2 h120  167.44  290.01 1 2 2 1
8 0 h120   83.72  435.02 0 2 3 1
8 0 h120   -0.01  580.03 0 2 4 1
8 0 h120  -83.72  725.04 0 2 5 1
8 0 l200 -167.44  870.04 3 2 6 1
8 0 l300 -251.16 1015.05 3 2 7 1
8 0 l300 -334.88 1160.06 3 2 8 1
8 0 l300 -418.61 1305.07 3 2 9 1
8 0 h120  251.16  435.02 1 3 3 1
8 0 h120  167.44  580.03 1 3 4 1
8 0 h120   83.72  725.04 1 3 5 1
8 0 l200    0.00  870.04 3 3 6 1
8 0 l200  -83.72 1015.05 3 3 7 1
8 0 l300 -167.44 1160.06 3 3 8 1
8 0 l300 -251.16 1305.07 3 3 9 1
8 6 l300 -334.88 1450.09 2 3 10 1
8 0 h120  334.88  580.03 1 4 4 1
8 0 h120  251.16  725.04 1 4 5 1
8 0 l200  167.44  870.05 1 4 6 1
8 0 l200   83.72 1015.05 1 4 7 1
8 0 l300   -0.00 1160.06 1 4 8 1
8 0 l300  -83.72 1305.08 3 4 9 1
8 3 l300 -167.44 1450.09 5 4 10 1
8 0 l200  418.60  725.04 1 5 5 1
8 0 l200  334.88  870.04 1 5 6 1
8 0 l300  251.16 1015.05 1 5 7 1
8 0 l300  167.45 1160.07 1 5 8 1
8 0 l300   83.72 1305.08 1 5 9 1
8 3 l300    0.00 1450.08 5 5 10 1
8 0 l200  502.32  870.04 1 6 6 1
8 0 l300  418.60 1015.06 1 6 7 1
8 0 l300  334.88 1160.07 1 6 8 1
8 0 l300  251.17 1305.07 1 6 9 1
8 3 l300  167.44 1450.08 5 6 10 1
8 0 l300  586.04 1015.06 1 7 7 1
8 0 l300  502.32 1160.07 1 7 8 1
8 0 l300  418.60 1305.08 1 7 9 1
8 6 l300  334.89 1450.08 2 7 10 1
8 0 l300  669.76 1160.07 1 8 8 1
8 1 l300  586.04 1305.08 1 8 9 1
9 3 h120   -0.00  290.02 2 1 2 1
9 0 h120  -83.72  435.02 4 1 3 1
9 0 h120 -167.44  580.03 4 1 4 1
9 0 h120 -251.16  725.04 4 1 5 1
9 0 l200 -334.88  870.05 1 1 6 1
9 0 l300 -418.61 1015.05 1 1 7 1
9 0 l300 -502.33 1160.06 1 1 8 1
9 0 l300 -586.04 1305.07 1 1 9 1
9 2 h120  167.44  290.01 0 2 2 1
9 0 h120   83.72  435.02 4 2 3 1
9 0 h120   -0.01  580.03 4 2 4 1
9 0 h120  -83.72  725.04 4 2 5 1
9 0 l200 -167.44  870.04 1 2 6 1
9 0 l300 -251.16 1015.05 1 2 7 1
9 0 l300 -334.88 1160.06 1 2 8 1
9 0 l300 -418.61 1305.07 1 2 9 1
9 1 l300 -502.32 1450.07 1 2 10 1
9 0 h120  251.16  435.02 3 3 3 1
9 0 h120  167.44  580.03 3 3 4 1
9 0 h120   83.72  725.04 3 3 5 1
9 0 l200    0.00  870.04 1 3 6 1
9 0 l200  -83.72 1015.05 1 3 7 1
9 0 l300 -167.44 1160.06 1 3 8 1
9 0 l300 -251.16 1305.07 1 3 9 1
9 5 l300 -334.88 1450.09 5 3 10 1
9 0 h120  334.88  580.03 3 4 4 1
9 0 h120  251.16  725.04 3 4 5 1
9 0 l200  167.44  870.05 3 4 6 1
9 0 l200   83.72 1015.05 3 4 7 1
9 0 l300   -0.00 1160.06 3 4 8 1
9 0 l300  -83.72 1305.08 1 4 9 1
9 0 l300 -167.44 1450.09 1 4 10 1
9 0 l200  418.60  725.04 3 5 5 1
9 0 l200  334.88  870.04 3 5 6 1
9 0 l300  251.16 1015.05 3 5 7 1
9 0 l300  167.45 1160.07 3 5 8 1
9 0 l300   83.72 1305.08 3 5 9 1
9 3 l300    0.00 1450.08 5 5 10 1
9 0 l200  502.32  870.04 3 6 6 1
9 0 l300  418.60 1015.06 3 6 7 1
9 0 l300  334.88 1160.07 3 6 8 1
9 0 l300  251.17 1305.07 3 6 9 1
9 0 l300  167.44 1450.08 3 6 10 1
9 0 l300  586.04 1015.06 3 7 7 1
9 0 l300  502.32 1160.07 3 7 8 1
9 0 l300  418.60 1305.08 3 7 9 1
9 5 l300  334.89 1450.08 5 7 10 1
9 0 l300  669.76 1160.07 3 8 8 1
9 0 l300  586.04 1305.08 3 8 9 1
9 1 l300  502.32 1450.08 0 8 10 1
9 1 l300  753.49 1305.07 0 9 9 1
10 3 h120   -0.00  290.02 2 1 2 1
10 0 h120  -83.72  435.02 0 1 3 1
10 0 h120 -167.44  580.03 0 1 4 1
10 0 h120 -251.16  725.04 0 1 5 1
10 0 l200 -334.88  870.05 3 1 6 1
10 0 l300 -418.61 1015.05 3 1 7 1
10 0 l300 -502.33 1160.06 3 1 8 1
10 5 l300 -586.04 1305.07 5 1 9 1
10 2 h120  167.44  290.01 1 2 2 1
10 0 h120   83.72  435.02 0 2 3 1
10 0 h120   -0.01  580.03 0 2 4 1
10 0 h120  -83.72  725.04 0 2 5 1
10 0 l200 -167.44  870.04 3 2 6 1
10 0 l300 -251.16 1015.05 3 2 7 1
10 0 l300 -334.88 1160.06 3 2 8 1
10 0 l300 -418.61 1305.07 3 2 9 1
10 0 h120  251.16  435.02 1 3 3 1
10 0 h120  167.44  580.03 1 3 4 1
10 0 h120   83.72  725.04 1 3 5 1
10 0 l200    0.00  870.04 3 3 6 1
10 0 l200  -83.72 1015.05 3 3 7 1
10 0 l300 -167.44 1160.06 3 3 8 1
10 0 l300 -251.16 1305.07 3 3 9 1
10 3 l300 -334.88 1450.09 5 3 10 1
10 0 h120  334.88  580.03 1 4 4 1
10 0 h120  251.16  725.04 1 4 5 1
10 0 l200  167.44  870.05 1 4 6 1
10 0 l200   83.72 1015.05 1 4 7 1
10 0 l300   -0.00 1160.06 1 4 8 1
10 0 l300  -83.72 1305.08 3 4 9 1
10 3 l300 -167.44 1450.09 5 4 10 1
10 0 l200  418.60  725.04 1 5 5 1
10 0 l200  334.88  870.04 1 5 6 1
10 0 l300  251.16 1015.05 1 5 7 1
10 0 l300  167.45 1160.07 1 5 8 1
10 0 l300   83.72 1305.08 1 5 9 1
10 3 l300    0.00 1450.08 5 5 10 1
10 0 l200  502.32  870.04 1 6 6 1
10 0 l300  418.60 1015.06 1 6 7 1
10 0 l300  334.88 1160.07 1 6 8 1
10 0 l300  251.17 1305.07 1 6 9 1
10 3 l300  167.44 1450.08 5 6 10 1
10 0 l300  586.04 1015.06 1 7 7 1
10 0 l300  502.32 1160.07 1 7 8 1
10 0 l300  418.60 1305.08 1 7 9 1
10 3 l300  334.89 1450.08 5 7 10 1
10 0 l300  669.76 1160.07 1 8 8 1
10 5 l300  586.04 1305.08 5 8 9 1
10 1 l300  753.49 1305.07 1 9 9 1
