mH_GeV  sigma_ggH_pb        sigma_tt/sigma_ggH  sigma_bb/sigma_ggH  sigma_tb/sigma_ggH  
110.0   2.236896e+01        1.062649e+00        1.027266e-02        -7.292165e-02       
111.0   2.196777e+01        1.062429e+00        9.999447e-03        -7.242880e-02       
112.0   2.157706e+01        1.062181e+00        9.734538e-03        -7.191513e-02       
113.0   2.119693e+01        1.061893e+00        9.477203e-03        -7.137001e-02       
114.0   2.082640e+01        1.061599e+00        9.228385e-03        -7.082708e-02       
115.0   2.046540e+01        1.061295e+00        8.987778e-03        -7.028282e-02       
116.0   2.011301e+01        1.060988e+00        8.755178e-03        -6.974324e-02       
117.0   1.976964e+01        1.060668e+00        8.529908e-03        -6.919759e-02       
118.0   1.943479e+01        1.060350e+00        8.311827e-03        -6.866165e-02       
119.0   1.910803e+01        1.060021e+00        8.100721e-03        -6.812214e-02       
120.0   1.878903e+01        1.059693e+00        7.896376e-03        -6.758985e-02       
121.0   1.847753e+01        1.059362e+00        7.698463e-03        -6.706056e-02       
122.0   1.817340e+01        1.059033e+00        7.507118e-03        -6.654027e-02       
123.0   1.787639e+01        1.058697e+00        7.321929e-03        -6.601919e-02       
124.0   1.758632e+01        1.058366e+00        7.142516e-03        -6.550839e-02       
125.0   1.730304e+01        1.058035e+00        6.968715e-03        -6.500332e-02       
126.0   1.702617e+01        1.057705e+00        6.800256e-03        -6.450535e-02       
127.0   1.675583e+01        1.057367e+00        6.636629e-03        -6.400317e-02       
128.0   1.649145e+01        1.057031e+00        6.477886e-03        -6.350914e-02       
129.0   1.623312e+01        1.056695e+00        6.323877e-03        -6.301857e-02       
130.0   1.598072e+01        1.056357e+00        6.174315e-03        -6.253127e-02       
131.0   1.573386e+01        1.056014e+00        6.029028e-03        -6.204274e-02       
132.0   1.549247e+01        1.055671e+00        5.887875e-03        -6.155927e-02       
133.0   1.525668e+01        1.055324e+00        5.750665e-03        -6.107492e-02       
134.0   1.502610e+01        1.054973e+00        5.617306e-03        -6.059059e-02       
135.0   1.480014e+01        1.054640e+00        5.488321e-03        -6.012836e-02       
136.0   1.457923e+01        1.054305e+00        5.363419e-03        -5.966839e-02       
137.0   1.436295e+01        1.053969e+00        5.242298e-03        -5.921171e-02       
138.0   1.415116e+01        1.053641e+00        5.124872e-03        -5.876622e-02       
139.0   1.394379e+01        1.053322e+00        5.010622e-03        -5.833230e-02       
140.0   1.374081e+01        1.052983e+00        4.899137e-03        -5.788213e-02       
