mH_GeV  sigma_ggH_pb        sigma_tt/sigma_ggH  sigma_bb/sigma_ggH  sigma_tb/sigma_ggH  
110.0   1.766822e+01        1.063975e+00        1.036883e-02        -7.434334e-02       
111.0   1.734131e+01        1.063729e+00        1.009278e-02        -7.382155e-02       
112.0   1.702320e+01        1.063452e+00        9.824997e-03        -7.327746e-02       
113.0   1.671387e+01        1.063139e+00        9.564931e-03        -7.270422e-02       
114.0   1.641237e+01        1.062826e+00        9.313504e-03        -7.213910e-02       
115.0   1.611855e+01        1.062514e+00        9.070509e-03        -7.158408e-02       
116.0   1.583227e+01        1.062185e+00        8.835382e-03        -7.102038e-02       
117.0   1.555318e+01        1.061854e+00        8.607867e-03        -7.046154e-02       
118.0   1.528126e+01        1.061520e+00        8.387498e-03        -6.990738e-02       
119.0   1.501598e+01        1.061186e+00        8.174183e-03        -6.936041e-02       
120.0   1.475718e+01        1.060847e+00        7.967673e-03        -6.881489e-02       
121.0   1.450471e+01        1.060510e+00        7.767684e-03        -6.827786e-02       
122.0   1.425828e+01        1.060170e+00        7.574298e-03        -6.774449e-02       
123.0   1.401762e+01        1.059829e+00        7.387156e-03        -6.721585e-02       
124.0   1.378259e+01        1.059493e+00        7.205897e-03        -6.669932e-02       
125.0   1.355331e+01        1.059151e+00        7.030273e-03        -6.618079e-02       
126.0   1.332933e+01        1.058802e+00        6.860053e-03        -6.566210e-02       
127.0   1.311068e+01        1.058456e+00        6.694752e-03        -6.515047e-02       
128.0   1.289701e+01        1.058105e+00        6.534362e-03        -6.463951e-02       
129.0   1.268820e+01        1.057752e+00        6.378809e-03        -6.413092e-02       
130.0   1.248416e+01        1.057404e+00        6.227831e-03        -6.363221e-02       
131.0   1.228479e+01        1.057048e+00        6.081111e-03        -6.312864e-02       
132.0   1.208995e+01        1.056690e+00        5.938568e-03        -6.262863e-02       
133.0   1.189954e+01        1.056330e+00        5.800085e-03        -6.213015e-02       
134.0   1.171338e+01        1.055967e+00        5.665504e-03        -6.163282e-02       
135.0   1.153120e+01        1.055610e+00        5.535251e-03        -6.114514e-02       
136.0   1.135299e+01        1.055260e+00        5.409213e-03        -6.066905e-02       
137.0   1.117862e+01        1.054920e+00        5.286965e-03        -6.020742e-02       
138.0   1.100805e+01        1.054580e+00        5.168405e-03        -5.974877e-02       
139.0   1.084121e+01        1.054238e+00        5.052997e-03        -5.929144e-02       
140.0   1.067798e+01        1.053890e+00        4.940381e-03        -5.883005e-02       
