[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_quark}
20 26 0 1 4 0 100 10.988 4.407
20 26 1 2 4 0 100 15.629 6.230
20 26 2 3 4 0 100 10.498 6.430
20 26 3 4 4 0 100 8.783 6.678
20 26 4 5 4 0 100 8.807 7.157
20 26 5 6 4 0 100 8.710 7.255
20 26 6 7 4 0 100 9.200 7.405
20 26 7 8 4 0 100 9.450 7.713
20 26 8 9 4 0 100 9.086 7.864
20 26 9 10 4 0 100 9.463 8.012
20 26 10 11 4 0 100 9.240 8.188
20 26 11 12 4 0 100 9.080 8.309
20 26 12 13 4 0 100 9.930 8.476
20 26 13 14 4 0 100 10.085 8.654
20 26 14 15 4 0 100 9.025 8.691
20 26 15 16 4 0 100 9.421 8.827
20 26 16 17 4 0 100 10.460 8.978
20 26 17 18 4 0 100 9.613 9.103
20 26 18 19 4 0 100 9.956 9.371
20 26 19 20 4 0 100 10.379 9.479
20 26 20 21 4 0 100 10.242 9.616
20 26 21 22 4 0 100 10.539 9.667
20 26 22 23 4 0 100 10.789 9.999
20 26 23 24 4 0 100 10.771 10.026
20 26 24 25 4 0 100 10.986 10.081
20 26 25 26 4 0 100 11.009 10.390
20 26 26 27 4 0 100 10.950 10.274
20 26 27 28 4 0 100 10.096 10.388
20 26 28 29 4 0 100 10.601 10.723
20 26 29 30 4 0 100 12.323 10.870
20 26 30 31 4 0 100 10.853 10.923
20 26 31 32 4 0 100 12.501 10.356
20 26 32 33 4 0 100 15.619 11.043
20 26 33 34 4 0 100 13.122 11.449
20 26 34 35 4 0 100 22.407 11.625
20 26 35 36 4 0 100 16.677 10.769
20 26 36 37 4 0 100 19.920 11.831
20 26 37 38 4 0 100 18.334 11.549
20 26 38 39 4 0 100 34.936 11.342
20 26 39 40 4 0 100 25.340 11.229
20 26 40 41 4 0 100 50.000 11.553
20 26 41 42 4 0 100 31.380 7.962
20 26 42 43 4 0 100 50.000 10.280
20 26 43 44 4 0 100 1.315 100.000
20 26 44 100 4 0 100 50.000 12.815
26 32 0 1 4 0 100 50.000 6.277
26 32 1 2 4 0 100 21.638 7.327
26 32 2 3 4 0 100 9.173 7.592
26 32 3 4 4 0 100 9.465 7.914
26 32 4 5 4 0 100 9.104 8.082
26 32 5 6 4 0 100 8.943 8.336
26 32 6 7 4 0 100 9.398 8.440
26 32 7 8 4 0 100 9.453 8.658
