[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis1_QC_quark}
20 26 0 1 4 0 100 23.311 2.378
20 26 1 2 4 0 100 21.710 2.354
20 26 2 3 4 0 100 22.262 2.327
20 26 3 4 4 0 100 20.907 2.313
20 26 4 5 4 0 100 20.980 2.290
20 26 5 6 4 0 100 20.358 2.286
20 26 6 7 4 0 100 20.048 2.274
20 26 7 8 4 0 100 20.639 2.247
20 26 8 9 4 0 100 20.724 2.244
20 26 9 10 4 0 100 19.789 2.237
20 26 10 11 4 0 100 19.649 2.232
20 26 11 12 4 0 100 18.770 2.224
20 26 12 13 4 0 100 20.691 2.195
20 26 13 14 4 0 100 19.862 2.185
20 26 14 15 4 0 100 19.116 2.192
20 26 15 16 4 0 100 20.060 2.180
20 26 16 17 4 0 100 19.086 2.194
20 26 17 18 4 0 100 18.986 2.146
20 26 18 19 4 0 100 18.486 2.150
20 26 19 20 4 0 100 18.500 2.135
20 26 20 21 4 0 100 19.603 2.102
20 26 21 22 4 0 100 22.764 2.124
20 26 22 23 4 0 100 24.845 2.036
20 26 23 24 4 0 100 25.049 1.957
20 26 24 25 4 0 100 28.265 2.092
26 32 0 1 4 0 100 24.481 2.499
26 32 1 2 4 0 100 21.633 2.451
26 32 2 3 4 0 100 21.391 2.458
26 32 3 4 4 0 100 21.787 2.432
26 32 4 5 4 0 100 21.332 2.422
26 32 5 6 4 0 100 21.412 2.388
26 32 6 7 4 0 100 21.993 2.392
26 32 7 8 4 0 100 20.792 2.386
26 32 8 9 4 0 100 20.394 2.370
26 32 9 10 4 0 100 20.641 2.368
26 32 10 11 4 0 100 20.485 2.360
26 32 11 12 4 0 100 19.875 2.348
26 32 12 13 4 0 100 20.353 2.336
26 32 13 14 4 0 100 20.800 2.327
26 32 14 15 4 0 100 20.899 2.314
26 32 15 16 4 0 100 20.421 2.310
26 32 16 17 4 0 100 19.440 2.299
26 32 17 18 4 0 100 19.593 2.280
26 32 18 19 4 0 100 20.335 2.301
26 32 19 20 4 0 100 20.588 2.282
26 32 20 21 4 0 100 22.167 2.244
26 32 21 22 4 0 100 22.075 2.216
26 32 22 23 4 0 100 22.731 2.250
26 32 23 24 4 0 100 23.660 2.251
26 32 24 25 4 0 100 32.916 2.141
32 40 0 1 4 0 100 22.971 2.591
32 40 1 2 4 0 100 21.827 2.602
32 40 2 3 4 0 100 21.926 2.589
32 40 3 4 4 0 100 21.606 2.549
32 40 4 5 4 0 100 21.642 2.549
32 40 5 6 4 0 100 21.713 2.536
32 40 6 7 4 0 100 21.558 2.516
32 40 7 8 4 0 100 21.676 2.508
32 40 8 9 4 0 100 21.809 2.501
32 40 9 10 4 0 100 21.585 2.497
32 40 10 11 4 0 100 21.264 2.483
32 40 11 12 4 0 100 20.915 2.477
32 40 12 13 4 0 100 21.675 2.462
32 40 13 14 4 0 100 20.616 2.445
32 40 14 15 4 0 100 20.921 2.449
32 40 15 16 4 0 100 20.461 2.440
32 40 16 17 4 0 100 20.599 2.432
32 40 17 18 4 0 100 22.162 2.431
32 40 18 19 4 0 100 20.512 2.428
32 40 19 20 4 0 100 20.537 2.407
32 40 20 21 4 0 100 19.593 2.389
32 40 21 22 4 0 100 19.930 2.375
32 40 22 23 4 0 100 23.059 2.365
32 40 23 24 4 0 100 24.564 2.311
32 40 24 25 4 0 100 21.809 2.298
40 51 0 1 4 0 100 25.812 2.741
40 51 1 2 4 0 100 22.836 2.726
40 51 2 3 4 0 100 23.240 2.708
40 51 3 4 4 0 100 22.496 2.689
40 51 4 5 4 0 100 22.481 2.687
40 51 5 6 4 0 100 22.609 2.676
40 51 6 7 4 0 100 22.435 2.667
40 51 7 8 4 0 100 22.425 2.654
40 51 8 9 4 0 100 22.172 2.659
40 51 9 10 4 0 100 21.932 2.654
40 51 10 11 4 0 100 22.297 2.626
40 51 11 12 4 0 100 21.824 2.627
40 51 12 13 4 0 100 22.077 2.613
40 51 13 14 4 0 100 21.785 2.609
40 51 14 15 4 0 100 21.569 2.598
