[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_F_quark}
20 22 0 1 4 0 100 32.907 2.703
20 22 1 2 4 0 100 6.400 2.539
20 22 2 3 4 0 100 21.952 4.353
20 22 3 4 4 0 100 12.223 4.266
20 22 4 5 4 0 100 14.063 4.520
20 22 5 6 4 0 100 12.363 4.537
20 22 6 7 4 0 100 9.089 4.841
20 22 7 8 4 0 100 10.819 4.947
20 22 8 9 4 0 100 13.314 5.149
20 22 9 10 4 0 100 10.155 5.292
20 22 10 11 4 0 100 11.480 5.659
20 22 11 12 4 0 100 11.442 5.942
20 22 12 13 4 0 100 11.351 5.943
20 22 13 14 4 0 100 12.679 6.080
20 22 14 15 4 0 100 14.265 6.185
20 22 15 16 4 0 100 13.630 6.711
20 22 16 17 4 0 100 14.696 7.164
20 22 17 18 4 0 100 14.731 7.012
20 22 18 19 4 0 100 18.248 7.199
20 22 19 20 4 0 100 31.806 7.374
20 22 20 21 4 0 100 27.528 8.162
20 22 21 22 4 0 100 43.946 8.892
20 22 22 23 4 0 100 36.583 8.694
20 22 23 24 4 0 100 41.529 8.990
20 22 24 25 4 0 100 50.000 8.503
20 22 25 26 4 0 100 1.262 100.000
20 22 26 27 4 0 100 50.000 9.442
20 22 27 28 4 0 100 1.366 100.000
20 22 28 29 4 0 100 1.346 100.000
20 22 29 30 4 0 100 50.000 11.492
20 22 30 31 4 0 100 1.557 100.000
20 22 31 32 4 0 100 50.000 10.935
20 22 32 33 4 0 100 1.687 100.000
20 22 33 34 4 0 100 1.687 100.000
20 22 34 35 4 0 100 1.563 100.000
20 22 35 36 4 0 100 1.687 100.000
20 22 36 37 4 0 100 1.688 100.000
20 22 37 38 4 0 100 1.625 100.000
20 22 39 40 4 0 100 50.000 12.711
20 22 40 100 4 0 100 1.687 100.000
22 25 0 1 4 0 100 1.627 100.000
22 25 1 2 4 0 100 17.269 4.138
22 25 2 3 4 0 100 11.848 4.340
22 25 3 4 4 0 100 11.584 4.565
22 25 4 5 4 0 100 11.792 4.833
22 25 5 6 4 0 100 10.125 4.977
22 25 6 7 4 0 100 9.887 5.084
22 25 7 8 4 0 100 9.929 5.345
22 25 8 9 4 0 100 10.570 5.346
22 25 9 10 4 0 100 9.871 5.640
22 25 10 11 4 0 100 10.444 5.779
22 25 11 12 4 0 100 11.789 6.016
22 25 12 13 4 0 100 11.119 6.230
22 25 13 14 4 0 100 11.175 6.347
22 25 14 15 4 0 100 11.332 6.647
22 25 15 16 4 0 100 13.610 6.991
22 25 16 17 4 0 100 13.000 7.014
