[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_quark}
20 26 0 1 4 0 100 7.275 68.131
20 26 1 2 4 0 100 100.000 2.963
20 26 2 3 4 0 100 27.319 3.086
20 26 3 4 4 0 100 28.573 2.985
20 26 4 5 4 0 100 27.387 2.955
20 26 5 6 4 0 100 27.657 2.901
20 26 6 7 4 0 100 26.694 2.918
20 26 7 8 4 0 100 27.322 2.864
20 26 8 9 4 0 100 26.227 2.859
20 26 9 10 4 0 100 25.911 2.815
20 26 10 11 4 0 100 25.060 2.816
20 26 11 12 4 0 100 25.342 2.806
20 26 12 13 4 0 100 24.192 2.788
20 26 13 14 4 0 100 24.256 2.774
20 26 14 15 4 0 100 24.446 2.724
20 26 15 16 4 0 100 23.893 2.740
20 26 16 17 4 0 100 23.161 2.724
20 26 17 18 4 0 100 24.334 2.682
20 26 18 19 4 0 100 24.381 2.682
20 26 19 20 4 0 100 25.535 2.645
20 26 20 21 4 0 100 24.243 2.644
20 26 21 22 4 0 100 23.972 2.641
20 26 22 23 4 0 100 26.491 2.616
20 26 23 24 4 0 100 26.174 2.581
20 26 24 25 4 0 100 25.866 2.577
20 26 25 26 4 0 100 27.118 2.593
20 26 26 27 4 0 100 25.861 2.536
20 26 27 28 4 0 100 28.281 2.545
20 26 28 29 4 0 100 30.081 2.489
20 26 29 30 4 0 100 41.032 2.313
20 26 30 31 4 0 100 37.454 2.444
20 26 31 32 4 0 100 57.250 2.341
20 26 32 33 4 0 100 45.359 2.622
20 26 33 34 4 0 100 75.017 2.347
20 26 34 35 4 0 100 100.000 2.189
20 26 35 36 4 0 100 21.305 2.530
20 26 36 37 4 0 100 23.916 2.560
20 26 37 38 4 0 100 100.000 2.276
20 26 38 39 4 0 100 36.874 58.390
20 26 39 40 4 0 100 100.000 2.187
20 26 40 41 4 0 100 35.906 49.200
20 26 41 42 4 0 100 11.636 98.512
20 26 42 43 4 0 100 41.476 27.035
20 26 43 44 4 0 100 99.995 99.130
20 26 44 100 4 0 100 92.816 77.194
26 32 0 1 4 0 100 8.495 76.463
26 32 1 2 4 0 100 100.000 3.257
26 32 2 3 4 0 100 31.352 3.165
26 32 3 4 4 0 100 32.075 3.092
26 32 4 5 4 0 100 27.843 3.076
26 32 5 6 4 0 100 28.220 3.030
26 32 6 7 4 0 100 28.784 3.003
26 32 7 8 4 0 100 27.697 2.977
26 32 8 9 4 0 100 26.578 2.947
26 32 9 10 4 0 100 28.199 2.937
26 32 10 11 4 0 100 26.576 2.914
26 32 11 12 4 0 100 27.767 2.917
26 32 12 13 4 0 100 27.386 2.891
